timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:22:13,static_pose,0,0.0146,0.0424,-0.0557,0.1948,1.7,-0.9,98.9,-2.0,-0.3,0.0000,5.1,100.9,0,0.0114,0.0313,-0.0597,0.1224,-2.1,-0.3,-0.0595,0.0157
2022-06-21 16:22:16,static_pose,0,0.0152,0.0426,-0.0559,0.1949,1.7,-0.9,99.1,-2.0,-0.3,0.0000,5.3,95.1,0,0.0113,0.0313,-0.0598,0.1231,-2.1,-0.3,-0.0596,0.0160
2022-06-21 16:22:19,static_pose,0,0.0145,0.0424,-0.0558,0.1946,1.7,-0.9,98.7,-2.0,-0.3,0.0000,5.2,102.1,0,0.0117,0.0323,-0.0597,0.1221,-2.1,-0.3,-0.0595,0.0155
2022-06-21 16:22:22,static_pose,0,0.0150,0.0427,-0.0559,0.1949,1.7,-0.9,99.1,-2.0,-0.3,0.0000,5.3,97.3,0,0.0116,0.0318,-0.0598,0.1222,-2.1,-0.3,-0.0596,0.0158
2022-06-21 16:22:24,static_pose,0,0.0151,0.0426,-0.0559,0.1952,1.7,-0.9,99.4,-2.0,-0.3,0.0000,5.2,96.4,0,0.0117,0.0324,-0.0598,0.1224,-2.1,-0.3,-0.0596,0.0155
2022-06-22 07:06:08,static_pose,0,0.0132,0.0376,-0.0290,0.1946,1.6,-1.0,99.4,-0.3,-0.3,0.0000,5.0,92.8,0,0.0103,0.0300,-0.0333,0.1220,-0.3,-0.3,-0.0337,0.0095
2022-06-22 07:06:11,static_pose,0,0.0133,0.0376,-0.0290,0.1947,1.6,-1.0,99.5,-0.3,-0.3,0.0000,4.9,92.3,0,0.0103,0.0294,-0.0332,0.1224,-0.3,-0.3,-0.0337,0.0096
2022-06-22 07:06:14,static_pose,0,0.0137,0.0378,-0.0290,0.1947,1.6,-1.0,99.5,-0.3,-0.3,0.0000,4.9,88.7,0,0.0101,0.0302,-0.0333,0.1219,-0.3,-0.3,-0.0337,0.0102
2022-06-22 07:06:16,static_pose,0,0.0133,0.0376,-0.0290,0.1948,1.6,-1.0,99.6,-0.3,-0.3,0.0000,4.8,93.6,0,0.0104,0.0307,-0.0333,0.1217,-0.3,-0.3,-0.0337,0.0100
2022-06-22 07:06:19,static_pose,0,0.0135,0.0375,-0.0291,0.1948,1.6,-1.0,99.6,-0.3,-0.3,0.0000,4.7,91.9,0,0.0100,0.0299,-0.0333,0.1220,-0.3,-0.3,-0.0337,0.0097
2022-06-22 07:08:52,static_pose,0,0.0126,0.1782,-0.0357,0.2638,3.1,0.8,99.6,0.1,-0.4,0.0000,2.3,94.3,0,0.0808,0.3554,-0.0455,0.0714,-0.3,-0.4,-0.0436,0.0223
2022-06-22 07:08:55,static_pose,0,0.0128,0.1776,-0.0357,0.2636,3.1,0.8,99.4,0.1,-0.4,0.0000,1.8,94.4,0,0.0554,0.3678,-0.0457,0.0625,-0.3,-0.4,-0.0437,0.0248
2022-06-22 07:08:58,static_pose,0,0.0124,0.1773,-0.0358,0.2631,3.2,0.8,98.9,0.1,-0.4,0.0000,1.8,102.3,0,0.1038,0.3413,-0.0456,0.0824,-0.3,-0.4,-0.0439,0.0232
2022-06-22 07:09:01,static_pose,0,0.0128,0.1780,-0.0358,0.2637,3.1,0.8,99.5,0.1,-0.4,0.0000,2.2,94.4,0,0.0754,0.3520,-0.0456,0.0721,-0.3,-0.4,-0.0438,0.0226
2022-06-22 07:09:03,static_pose,0,0.0126,0.1778,-0.0357,0.2636,3.1,0.8,99.4,0.1,-0.4,0.0000,2.0,97.9,0,0.0158,0.1657,-0.0428,0.1396,-0.3,-0.4,-0.0437,0.0239
2022-06-22 07:10:15,static_pose,0,-0.0056,0.1854,-0.0353,0.2624,3.1,0.8,99.5,0.1,-0.3,0.0000,2.1,100.6,0,-0.0026,0.1737,-0.0430,0.1359,-0.4,-0.3,-0.0437,0.0220
2022-06-22 07:10:18,static_pose,0,-0.0057,0.1854,-0.0352,0.2623,3.1,0.8,99.4,0.1,-0.3,0.0000,2.1,102.6,0,-0.0026,0.1734,-0.0431,0.1358,-0.4,-0.3,-0.0437,0.0213
2022-06-22 07:10:21,static_pose,0,-0.0055,0.1855,-0.0353,0.2623,3.1,0.8,99.4,0.1,-0.3,0.0000,2.1,99.6,0,-0.0019,0.1750,-0.0430,0.1359,-0.4,-0.3,-0.0438,0.0206
2022-06-22 07:10:23,static_pose,0,-0.0055,0.1854,-0.0353,0.2621,3.1,0.8,99.3,0.1,-0.3,0.0000,2.1,100.2,0,-0.0026,0.1738,-0.0430,0.1359,-0.4,-0.3,-0.0438,0.0222
2022-06-22 07:10:26,static_pose,0,-0.0054,0.1854,-0.0353,0.2624,3.1,0.8,99.5,0.1,-0.3,0.0000,2.1,99.4,0,-0.0024,0.1737,-0.0429,0.1361,-0.4,-0.3,-0.0437,0.0218
2022-06-22 07:13:39,static_pose,0,-0.0024,0.1829,-0.1682,0.2635,3.1,0.8,99.8,-3.5,-0.3,0.0000,2.2,93.9,0,0.0001,0.1632,-0.1753,0.1352,-4.0,-0.2,-0.1659,0.0239
2022-06-22 07:13:42,static_pose,0,-0.0024,0.1829,-0.1681,0.2633,3.1,0.8,99.6,-3.5,-0.3,0.0000,2.2,96.2,0,0.0002,0.1632,-0.1753,0.1353,-4.0,-0.2,-0.1659,0.0230
2022-06-22 07:13:45,static_pose,0,-0.0022,0.1832,-0.1682,0.2632,3.1,0.8,99.5,-3.5,-0.3,0.0000,2.4,93.8,0,0.0006,0.1635,-0.1754,0.1353,-4.0,-0.2,-0.1659,0.0235
2022-06-22 07:13:48,static_pose,0,-0.0024,0.1826,-0.1681,0.2635,3.1,0.8,99.7,-3.5,-0.3,0.0000,2.1,96.6,0,0.0006,0.1633,-0.1754,0.1354,-4.0,-0.2,-0.1659,0.0235
2022-06-22 07:13:50,static_pose,0,-0.0023,0.1827,-0.1682,0.2635,3.1,0.8,99.7,-3.5,-0.3,0.0000,2.2,95.4,0,0.0004,0.1637,-0.1754,0.1350,-4.0,-0.2,-0.1659,0.0229
2022-06-22 07:14:45,static_pose,0,-0.0041,-0.0285,-0.0255,0.1921,1.6,-1.0,99.2,-1.7,-0.7,0.0000,3.6,117.5,0,-0.0055,-0.0335,-0.0270,0.1218,-1.7,-0.7,-0.0289,0.0229
