timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
2022-06-21 06:40:55,move_and_return,0,0.0150,0.0392,-0.0541,0.1950,1.7,-0.9,98.9,-2.1,-0.3,0.0000,5.0,101.6,0,0.0125,0.0286,-0.0580,0.1233
2022-06-21 06:41:00,move_and_return,0,0.0143,0.0394,-0.0539,0.1946,1.7,-0.9,98.5,-2.1,-0.3,0.0000,5.2,105.6,0,0.0121,0.0293,-0.0578,0.1226
2022-06-21 06:41:04,move_and_return,0,0.0143,0.0391,-0.0540,0.1952,1.7,-0.9,99.3,-2.2,-0.3,0.0000,5.1,108.4,0,0.0135,0.0274,-0.0578,0.1245
2022-06-21 06:41:09,move_and_return,0,0.0153,0.0387,-0.0541,0.1953,1.7,-0.9,99.3,-2.1,-0.3,0.0000,4.4,99.3,0,0.0125,0.0294,-0.0578,0.1248
2022-06-21 06:41:14,move_and_return,0,0.0155,0.0390,-0.0540,0.1950,1.7,-0.9,99.1,-2.1,-0.3,0.0000,4.8,96.5,0,0.0122,0.0285,-0.0578,0.1236
2022-06-21 06:44:30,move_and_return,0,0.0149,0.0389,-0.0537,0.1953,1.7,-0.9,99.3,-2.1,-0.3,0.0000,4.8,103.8,0,0.0133,0.0283,-0.0576,0.1235
2022-06-21 06:44:35,move_and_return,0,0.0152,0.0393,-0.0538,0.1948,1.7,-0.9,98.7,-2.1,-0.3,0.0000,4.9,97.0,0,0.0122,0.0268,-0.0575,0.1252
2022-06-21 06:44:40,move_and_return,0,0.0157,0.0390,-0.0539,0.1951,1.7,-0.9,99.1,-2.1,-0.3,0.0000,4.7,95.1,0,0.0120,0.0285,-0.0578,0.1231
2022-06-21 06:44:44,move_and_return,0,0.0153,0.0385,-0.0539,0.1956,1.7,-1.0,99.6,-2.1,-0.3,0.0000,4.5,103.1,0,0.0126,0.0275,-0.0576,0.1241
2022-06-21 06:44:49,move_and_return,0,0.0156,0.0385,-0.0540,0.1953,1.7,-0.9,99.3,-2.1,-0.3,0.0000,4.4,99.0,0,0.0120,0.0283,-0.0578,0.1236
