timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-23 10:16:37,random_0.25in_offset,0,0.0263,0.2580,-0.2669,0.1967,1.7,-1.0,99.9,-0.4,-0.4,0.0000,8.5,96.7,0,0.0224,0.2402,-0.2696,0.1241,-0.7,-0.4,-0.2683,0.0150
2022-06-23 10:16:41,adjust_1,0,0.0029,-0.0051,-0.0012,0.1949,1.6,-1.0,99.6,-0.4,-0.4,0.0000,4.1,91.0,0,-0.0005,-0.0109,-0.0054,0.1224,-0.4,-0.4,-0.0060,0.0088
2022-06-23 10:16:48,random_0.25in_offset,0,0.1618,-0.0709,-0.0651,0.1944,1.7,-0.9,98.5,-0.3,-0.4,0.0000,3.2,104.9,0,0.1604,-0.0729,-0.0694,0.1212,-0.3,-0.5,-0.0692,0.0095
2022-06-23 10:16:52,adjust_1,0,0.0019,0.0010,0.0004,0.1948,1.7,-0.9,99.4,-0.4,-0.4,0.0000,3.8,96.1,0,-0.0002,-0.0039,-0.0039,0.1220,-0.4,-0.4,-0.0045,0.0096
2022-06-23 10:16:58,random_0.25in_offset,0,0.0384,-0.2307,0.1007,0.1944,1.6,-0.9,99.2,-0.4,-0.4,0.0000,1.3,119.9,0,0.0370,-0.2294,0.0980,0.1218,-0.2,-0.4,0.0966,0.0093
2022-06-23 10:17:02,adjust_1,0,0.0004,0.0057,0.0011,0.1949,1.7,-0.9,99.3,-0.4,-0.4,0.0000,4.4,99.0,0,-0.0019,-0.0006,-0.0031,0.1222,-0.4,-0.4,-0.0038,0.0096
2022-06-23 10:17:09,random_0.25in_offset,0,0.2509,-0.1756,-0.2837,0.1952,1.7,-0.9,99.1,-0.3,-0.4,0.0000,2.0,124.8,0,0.2494,-0.1761,-0.2876,0.1215,-0.2,-0.6,-0.2869,0.0100
2022-06-23 10:17:13,adjust_1,0,0.0030,0.0035,0.0015,0.1946,1.7,-0.9,99.2,-0.3,-0.4,0.0000,4.4,100.1,0,0.0006,-0.0023,-0.0028,0.1220,-0.3,-0.4,-0.0034,0.0093
2022-06-23 10:17:19,random_0.25in_offset,0,-0.1101,0.0102,0.1668,0.1948,1.7,-0.9,99.4,-0.4,-0.4,0.0000,4.5,93.5,0,-0.1131,0.0023,0.1624,0.1227,-0.4,-0.3,0.1611,0.0093
2022-06-23 10:17:23,adjust_1,0,-0.0025,0.0002,-0.0007,0.1948,1.7,-1.0,99.5,-0.3,-0.4,0.0000,3.8,96.6,0,-0.0053,-0.0058,-0.0050,0.1228,-0.4,-0.4,-0.0057,0.0095
