timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-23 10:23:15,random_10deg_tilt,0,0.0364,0.0006,-0.0414,0.1968,1.7,-0.9,99.7,-8.8,-6.2,0.0000,5.0,104.5,0,0.0267,-0.0177,-0.0427,0.1230,-9.0,-6.4,-0.0479,0.0442
2022-06-23 10:23:19,adjust_2,0,0.0331,0.0107,-0.0321,0.1949,1.7,-0.9,99.3,0.1,-0.1,0.0000,3.9,99.9,0,0.0311,0.0071,-0.0364,0.1222,0.1,-0.1,-0.0370,0.0095
2022-06-23 10:23:26,random_10deg_tilt,0,0.0391,0.0079,-0.0240,0.1953,1.7,-1.0,99.6,-2.6,4.4,0.0000,5.2,100.8,0,0.0420,-0.0021,-0.0277,0.1222,-2.7,4.4,-0.0336,0.0316
2022-06-23 10:23:30,adjust_2,0,0.0331,0.0099,-0.0324,0.1946,1.7,-0.9,99.1,0.0,0.0,0.0000,3.7,100.2,0,0.0309,0.0056,-0.0368,0.1219,-0.1,0.0,-0.0374,0.0094
2022-06-23 10:23:36,random_10deg_tilt,0,0.0317,0.0077,-0.0333,0.1943,1.7,-0.9,98.9,-1.0,-1.2,0.0000,4.1,102.3,0,0.0282,0.0011,-0.0372,0.1222,-1.0,-1.3,-0.0373,0.0113
2022-06-23 10:23:40,adjust_2,0,0.0336,0.0100,-0.0321,0.1949,1.7,-1.0,99.5,0.0,0.0,0.0000,3.6,95.9,0,0.0314,0.0057,-0.0362,0.1228,0.0,0.0,-0.0369,0.0095
2022-06-23 10:23:47,random_10deg_tilt,0,0.0424,0.0086,-0.0189,0.1955,1.7,-1.0,99.8,-3.0,6.8,0.0000,5.3,90.6,0,0.0464,-0.0024,-0.0224,0.1225,-3.1,6.9,-0.0326,0.0440
2022-06-23 10:23:51,adjust_2,0,0.0334,0.0096,-0.0323,0.1947,1.7,-0.9,99.1,-0.1,0.0,0.0000,4.2,95.9,0,0.0313,0.0055,-0.0367,0.1217,-0.1,0.0,-0.0372,0.0096
2022-06-23 10:23:58,random_10deg_tilt,0,0.0181,0.0163,-0.0458,0.1944,1.6,-1.0,100.2,7.2,-10.0,0.0000,3.0,109.7,0,0.0043,0.0224,-0.0471,0.1209,7.3,-10.3,-0.0561,0.0517
2022-06-23 10:24:03,adjust_2,0,0.0345,0.0118,-0.0323,0.1948,1.7,-0.9,99.0,0.0,0.1,0.0000,3.7,97.3,0,0.0316,0.0081,-0.0366,0.1218,0.0,0.1,-0.0372,0.0097
