timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:33:57,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0149,-0.0425,-0.1050,0.1226,-1.8,-8.8,-0.1098,0.0180
2022-06-21 16:34:01,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0049,-0.0451,-0.1034,0.1231,0.0,0.0,-0.1034,0.0058
2022-06-21 16:34:08,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0230,-0.0463,-0.0902,0.1224,-1.3,9.2,-0.0972,0.0325
2022-06-21 16:34:11,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0058,-0.0417,-0.1041,0.1232,-0.1,-0.1,-0.1041,0.0069
2022-06-21 16:34:17,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0126,-0.0550,-0.0920,0.1233,-6.2,2.5,-0.0995,0.0196
2022-06-21 16:34:21,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0051,-0.0442,-0.1033,0.1231,0.0,-0.1,-0.1033,0.0070
2022-06-21 16:34:27,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0178,-0.0510,-0.0937,0.1229,-2.9,5.8,-0.0986,0.0155
2022-06-21 16:34:31,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0057,-0.0426,-0.1046,0.1231,0.0,-0.1,-0.1046,0.0075
2022-06-21 16:34:37,random_10deg_tilt,0,-0.0034,-0.0068,-0.1027,0.1561,0.9,-1.4,93.6,5.7,-0.5,0.0000,9.9,101.9,0,-0.0002,-0.0306,-0.1090,0.1231,5.7,-0.5,-0.1065,0.0145
2022-06-21 16:34:41,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0059,-0.0439,-0.1026,0.1231,0.1,0.1,-0.1026,0.0071
