timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 17:13:50,random_0.25in_10deg,0,0.2864,0.1242,-0.1116,0.1961,1.6,-1.1,100.7,0.5,8.7,0.0000,7.3,84.1,0,0.2929,0.1153,-0.1152,0.1213,0.2,8.1,-0.1666,0.0493
2022-06-21 17:13:53,adjust_3,0,-0.0053,-0.0071,-0.0077,0.1945,1.7,-0.9,99.1,-0.1,0.0,0.0000,3.5,92.9,0,-0.0070,-0.0102,-0.0119,0.1224,-0.1,0.0,-0.0126,0.0091
2022-06-21 17:13:56,adjust_1-1,0,0.0004,0.0006,-0.0007,0.1943,1.7,-0.9,98.8,-0.1,0.0,0.0000,3.5,97.3,0,-0.0012,-0.0037,-0.0050,0.1228,-0.1,0.0,-0.0056,0.0095
2022-06-21 17:13:59,adjust_1-2,0,-0.0007,0.0001,0.0006,0.1942,1.7,-0.9,98.4,-0.1,0.0,0.0000,3.8,98.6,0,-0.0023,-0.0043,-0.0037,0.1223,-0.1,0.0,-0.0043,0.0095
2022-06-21 17:14:07,random_0.25in_10deg,0,0.0459,0.2893,0.1864,0.1974,1.7,-1.0,100.9,-5.6,7.4,0.0000,9.3,87.6,0,0.0496,0.2650,0.1865,0.1231,-6.7,7.4,0.2010,0.0474
2022-06-21 17:14:11,adjust_3,0,-0.0087,-0.0061,-0.0081,0.1948,1.7,-1.0,99.5,-0.3,0.0,0.0000,3.5,92.1,0,-0.0101,-0.0110,-0.0123,0.1231,-0.3,0.0,-0.0130,0.0098
2022-06-21 17:14:14,adjust_1-1,0,-0.0006,0.0004,-0.0002,0.1946,1.7,-0.9,99.1,-0.3,0.0,0.0000,3.9,96.9,0,-0.0026,-0.0048,-0.0043,0.1225,-0.3,0.0,-0.0050,0.0098
2022-06-21 17:14:17,adjust_1-2,0,0.0006,-0.0001,0.0000,0.1948,1.7,-0.9,99.3,-0.3,0.0,0.0000,3.7,91.9,0,-0.0022,-0.0047,-0.0043,0.1222,-0.3,0.0,-0.0049,0.0100
2022-06-21 17:14:24,random_0.25in_10deg,0,0.2938,0.2589,-0.1747,0.1967,1.7,-1.0,100.2,-1.2,9.7,0.0000,8.5,87.8,0,0.3008,0.2430,-0.1769,0.1216,-2.2,8.9,-0.2289,0.0530
2022-06-21 17:14:28,adjust_3,0,-0.0060,-0.0099,-0.0077,0.1947,1.7,-0.9,99.3,-0.3,-0.1,0.0000,3.3,91.0,0,-0.0078,-0.0138,-0.0118,0.1225,-0.3,-0.1,-0.0125,0.0094
2022-06-21 17:14:31,adjust_1-1,0,0.0001,0.0007,-0.0011,0.1946,1.7,-0.9,99.0,-0.3,-0.1,0.0000,3.5,97.1,0,-0.0013,-0.0039,-0.0052,0.1225,-0.3,-0.1,-0.0059,0.0093
2022-06-21 17:14:35,adjust_1-2,0,0.0007,-0.0003,0.0008,0.1948,1.7,-0.9,98.9,-0.3,-0.1,0.0000,3.8,91.5,0,-0.0025,-0.0057,-0.0033,0.1230,-0.3,-0.1,-0.0040,0.0097
2022-06-21 17:14:41,random_0.25in_10deg,0,0.1329,0.2148,-0.0461,0.1976,1.7,-0.9,99.6,-3.1,-8.1,0.0000,7.9,97.9,0,0.1216,0.1955,-0.0477,0.1228,-3.9,-8.8,-0.0255,0.0505
2022-06-21 17:14:46,adjust_3,0,-0.0006,-0.0053,0.0073,0.1944,1.7,-0.9,98.8,-0.2,0.0,0.0000,3.8,100.5,0,-0.0017,-0.0094,0.0030,0.1233,-0.2,0.0,0.0024,0.0093
2022-06-21 17:14:49,adjust_1-1,0,-0.0008,0.0000,0.0004,0.1944,1.7,-0.9,98.9,-0.2,0.0,0.0000,4.2,97.5,0,-0.0013,-0.0046,-0.0038,0.1222,-0.2,0.0,-0.0044,0.0099
2022-06-21 17:14:52,adjust_1-2,0,0.0007,0.0001,-0.0009,0.1946,1.7,-0.9,99.0,-0.2,0.0,0.0000,3.5,98.7,0,-0.0010,-0.0046,-0.0050,0.1229,-0.2,0.0,-0.0057,0.0098
2022-06-21 17:14:58,random_0.25in_10deg,0,-0.0815,-0.0580,-0.2430,0.1968,1.7,-1.0,100.7,0.4,0.6,0.0000,2.0,134.5,0,-0.0826,-0.0576,-0.2472,0.1217,0.4,0.7,-0.2467,0.0117
2022-06-21 17:15:02,adjust_3,0,0.0019,0.0030,0.0004,0.1948,1.7,-0.9,99.2,0.1,0.0,0.0000,3.5,97.7,0,-0.0004,-0.0012,-0.0038,0.1226,0.1,0.0,-0.0044,0.0095
2022-06-21 17:15:06,adjust_1-1,0,-0.0002,0.0006,0.0001,0.1944,1.7,-0.9,99.0,0.1,0.0,0.0000,3.5,100.9,0,-0.0015,-0.0030,-0.0042,0.1224,0.1,0.0,-0.0048,0.0096
2022-06-21 17:15:09,adjust_1-2,0,-0.0002,-0.0002,0.0000,0.1943,1.7,-0.9,98.7,0.1,0.0,0.0000,3.6,101.7,0,-0.0019,-0.0041,-0.0043,0.1224,0.1,0.0,-0.0050,0.0101
2022-06-22 10:32:49,random_0.25in_10deg,0,0.2141,-0.0448,-0.0170,0.1963,1.7,-0.9,99.1,-7.2,-3.9,0.0000,5.3,98.2,0,0.2052,-0.0633,-0.0195,0.1246,-7.2,-4.5,-0.0175,0.0397
