timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 17:17:25,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0556,-0.0107,-0.2469,0.1230,12.0,5.9,-0.2524,0.0259
2022-06-21 17:17:29,adjust_3,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0062,-0.0025,0.0002,0.1232,-0.1,0.1,0.0001,0.0072
2022-06-21 17:17:32,adjust_1-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0009,-0.0009,-0.0002,0.1233,-0.1,0.1,-0.0002,0.0056
2022-06-21 17:17:35,adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0009,0.0004,0.0000,0.1233,-0.1,0.1,0.0000,0.0063
2022-06-21 17:17:43,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1619,-0.2875,-0.0511,0.1233,-0.4,-1.7,-0.0580,0.0100
2022-06-21 17:17:47,adjust_3,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0034,-0.0012,-0.0014,0.1234,0.2,0.0,-0.0014,0.0070
2022-06-21 17:17:50,adjust_1-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0002,-0.0008,0.1231,0.3,0.0,-0.0008,0.0053
2022-06-21 17:17:53,adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0009,0.0000,0.0011,0.1231,0.2,0.0,0.0011,0.0054
2022-06-21 17:18:01,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0611,-0.1280,0.0174,0.1220,10.1,-0.8,0.0399,0.0159
2022-06-21 17:18:05,adjust_3,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0060,-0.0041,0.0093,0.1231,0.1,0.1,0.0093,0.0052
2022-06-21 17:18:08,adjust_1-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0007,0.0009,0.0000,0.1229,0.1,0.1,0.0000,0.0055
2022-06-21 17:18:11,adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0005,-0.0007,-0.0004,0.1229,0.1,0.1,-0.0004,0.0059
2022-06-21 17:18:19,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0578,-0.1943,-0.1016,0.1228,9.7,2.1,-0.0678,0.0183
2022-06-21 17:18:23,adjust_3,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0055,-0.0046,0.0045,0.1233,0.0,0.0,0.0045,0.0064
2022-06-21 17:18:26,adjust_1-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0010,0.0002,0.0000,0.1233,0.1,0.0,0.0000,0.0079
2022-06-21 17:18:29,adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0009,-0.0003,-0.0004,0.1234,0.1,0.0,-0.0004,0.0059
2022-06-21 17:18:37,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0290,0.1218,-0.2471,0.1224,-0.8,9.3,-0.2531,0.0331
2022-06-21 17:18:41,adjust_3,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0001,-0.0005,-0.0104,0.1234,0.0,-0.1,-0.0104,0.0054
2022-06-21 17:18:45,adjust_1-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0005,0.0005,-0.0001,0.1233,0.0,-0.1,-0.0002,0.0072
2022-06-21 17:18:48,adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,-0.0007,-0.0005,0.1233,0.0,-0.1,-0.0005,0.0067
