timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-23 18:16:20,100_initial,0,-0.0010,0.0201,0.0119,0.1950,1.6,-1.3,102.6,-1.1,-1.4,0.0000,3.9,-175.5,0,0.0012,0.0198,0.0109,0.1225,-1.1,-1.4,0.0105,0.0279
2022-06-23 18:16:24,100_adjust_3-1,0,-0.0001,0.0004,0.0000,0.1953,1.6,-1.3,102.8,0.1,0.1,0.0000,3.1,-175.3,0,0.0031,0.0002,-0.0011,0.1229,0.1,0.1,-0.0019,0.0252
2022-06-23 18:16:28,100_adjust_1-2,0,0.0005,-0.0004,0.0006,0.1947,1.6,-1.2,102.1,0.0,0.0,0.0000,2.3,-175.9,0,0.0022,0.0009,-0.0004,0.1215,0.0,0.0,-0.0012,0.0249
2022-06-23 18:16:31,100_adjust_1,0,-0.0001,0.0000,-0.0005,0.1952,1.6,-1.3,102.7,0.0,0.0,0.0000,2.8,-176.7,0,0.0024,0.0010,-0.0018,0.1219,0.1,0.0,-0.0026,0.0252
2022-06-23 18:16:35,101_initial,0,-0.0041,0.0813,0.0069,0.1931,1.6,-1.1,100.0,-0.2,-0.6,0.0000,5.3,99.0,0,-0.0061,0.0725,0.0031,0.1223,-0.2,-0.6,0.0026,0.0135
2022-06-23 18:16:38,101_adjust_3-1,0,0.0013,-0.0005,-0.0008,0.1931,1.6,-1.1,100.0,0.0,0.0,0.0000,4.7,103.1,0,0.0002,-0.0075,-0.0044,0.1221,0.0,0.0,-0.0051,0.0118
2022-06-23 18:16:42,101_adjust_1-2,0,-0.0010,-0.0004,0.0003,0.1928,1.6,-1.0,99.6,0.0,0.0,0.0000,4.8,108.5,0,-0.0020,-0.0082,-0.0035,0.1225,0.0,0.0,-0.0042,0.0122
2022-06-23 18:16:45,101_adjust_1,0,0.0008,0.0005,-0.0004,0.1931,1.6,-1.0,100.0,0.0,0.0,0.0000,4.8,105.6,0,0.0009,-0.0073,-0.0043,0.1227,0.0,0.0,-0.0049,0.0120
2022-06-23 18:16:49,102_initial,0,-0.0069,0.1299,0.0021,0.2591,3.2,0.9,96.9,-0.1,-0.6,0.0000,0.6,-6.0,0,-0.0091,0.1308,-0.0044,0.1364,-0.5,-0.6,-0.0054,0.0192
2022-06-23 18:16:53,102_adjust_3-1,0,0.0014,-0.0015,0.0004,0.2598,3.1,0.9,97.9,0.0,0.0,0.0000,1.0,-53.4,0,0.0019,0.0041,-0.0059,0.1368,0.0,0.0,-0.0076,0.0191
