timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-29 13:37:43,move_and_return,0,-0.0415,0.2412,-0.0078,0.2637,3.1,0.7,100.3,0.1,-0.4,0.0000,2.8,94.9,0,-0.0407,0.2281,-0.0141,0.1339,-0.3,-0.3,-0.0148,0.0177
2022-06-29 13:37:56,move_and_return,0,-0.0413,0.2424,-0.0082,0.2639,3.1,0.7,100.4,0.1,-0.4,0.0000,2.9,96.1,0,-0.0402,0.2291,-0.0144,0.1341,-0.3,-0.3,-0.0152,0.0176
2022-06-29 13:38:06,move_and_return,0,-0.0409,0.2431,-0.0082,0.2639,3.1,0.7,100.4,0.1,-0.4,0.0000,3.0,97.6,0,-0.0388,0.2283,-0.0145,0.1347,-0.3,-0.3,-0.0153,0.0174
2022-06-29 13:38:17,move_and_return,0,-0.0409,0.2420,-0.0082,0.2634,3.1,0.7,100.1,0.1,-0.4,0.0000,2.7,98.3,0,-0.0393,0.2293,-0.0145,0.1343,-0.3,-0.3,-0.0153,0.0175
2022-06-29 13:38:26,move_and_return,0,-0.0407,0.2426,-0.0079,0.2637,3.1,0.7,100.3,0.2,-0.4,0.0000,2.9,95.6,0,-0.0389,0.2288,-0.0141,0.1348,-0.3,-0.3,-0.0150,0.0175
2022-11-06 08:12:44,move_and_return,0,0.0307,0.0915,-0.0777,0.2629,3.1,0.7,100.3,-0.4,-0.4,0.0000,1.4,99.5,0,0.0307,0.0829,-0.0862,0.1330,-0.7,-0.4,-0.0867,0.0222
2022-11-06 08:12:51,move_and_return,0,0.0308,0.0917,-0.0781,0.2630,3.1,0.7,100.2,-0.4,-0.4,0.0000,1.4,100.8,0,0.0313,0.0832,-0.0867,0.1331,-0.7,-0.4,-0.0871,0.0223
2022-11-06 08:12:59,move_and_return,0,0.0306,0.0915,-0.0779,0.2629,3.1,0.7,100.2,-0.4,-0.4,0.0000,1.4,100.4,0,0.0304,0.0830,-0.0865,0.1329,-0.7,-0.4,-0.0869,0.0225
2022-11-06 08:13:07,move_and_return,0,0.0307,0.0913,-0.0778,0.2628,3.1,0.7,100.2,-0.4,-0.4,0.0000,1.4,100.7,0,0.0313,0.0824,-0.0864,0.1331,-0.7,-0.4,-0.0869,0.0219
2022-11-06 08:13:14,move_and_return,0,0.0308,0.0915,-0.0779,0.2629,3.1,0.7,100.2,-0.4,-0.4,0.0000,1.3,98.6,0,0.0309,0.0830,-0.0865,0.1330,-0.7,-0.4,-0.0869,0.0222
