time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T10:23:37.508000,random_0.25in_offset,0,0.2293,0.2266,-0.2719,0.1959,0.0653,-0.0387,99.99,-0.14,-0.16,0.0000,7.10,91.97,0,0.2255,0.2138,-0.2754,0.1217,-0.36,-0.36,-0.2744,0.0141
2022-11-11T10:23:42.828000,adjust_1,0,0.0007,-0.0035,0.0020,0.1948,0.0646,-0.0389,99.80,-0.11,-0.14,0.0000,4.89,96.02,0,-0.0022,-0.0093,-0.0024,0.1216,-0.10,-0.14,-0.0031,0.0092
2022-11-11T10:23:52.337000,random_0.25in_offset,0,-0.0169,-0.0251,-0.0232,0.1946,0.0654,-0.0355,98.90,-0.16,-0.13,0.0000,3.55,112.10,0,-0.0204,-0.0272,-0.0273,0.1232,-0.13,-0.13,-0.0281,0.0092
2022-11-11T10:23:57.582000,adjust_1,0,0.0014,0.0023,-0.0010,0.1948,0.0645,-0.0393,99.89,-0.09,-0.13,0.0000,4.95,91.61,0,-0.0017,-0.0036,-0.0054,0.1215,-0.09,-0.14,-0.0061,0.0098
2022-11-11T10:24:06.859000,random_0.25in_offset,0,0.1193,0.0551,-0.0976,0.1952,0.0646,-0.0395,100.02,-0.10,-0.16,0.0000,5.81,97.39,0,0.1178,0.0476,-0.1020,0.1209,-0.14,-0.24,-0.1022,0.0102
2022-11-11T10:24:11.982000,adjust_1,0,0.0007,-0.0017,0.0014,0.1948,0.0646,-0.0387,99.74,-0.09,-0.14,0.0000,4.78,94.95,0,-0.0013,-0.0070,-0.0031,0.1217,-0.08,-0.14,-0.0037,0.0093
2022-11-11T10:24:21.688000,random_0.25in_offset,0,-0.1144,0.1636,-0.2211,0.1956,0.0646,-0.0403,100.31,-0.14,-0.10,0.0000,6.88,95.27,0,-0.1172,0.1518,-0.2249,0.1222,-0.28,-0.02,-0.2254,0.0118
2022-11-11T10:24:27.317000,adjust_1,0,0.0002,-0.0009,0.0001,0.1948,0.0646,-0.0389,99.77,-0.09,-0.14,0.0000,5.22,98.08,0,-0.0017,-0.0059,-0.0043,0.1211,-0.09,-0.14,-0.0050,0.0092
2022-11-11T10:24:36.994000,random_0.25in_offset,0,0.0827,0.0228,-0.1313,0.1948,0.0649,-0.0378,99.52,-0.09,-0.15,0.0000,4.37,96.10,0,0.0796,0.0176,-0.1357,0.1219,-0.11,-0.20,-0.1361,0.0102
2022-11-11T10:24:42.084000,adjust_1,0,-0.0001,-0.0006,0.0011,0.1945,0.0649,-0.0373,99.32,-0.13,-0.14,0.0000,4.07,99.15,0,-0.0016,-0.0056,-0.0031,0.1224,-0.13,-0.14,-0.0038,0.0091
