timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-23 13:14:13,100_initial,0,0.0190,0.0222,0.0011,0.1968,1.5,-1.5,104.5,-1.2,-1.4,0.0000,4.7,-165.1,0,0.0226,0.0232,0.0000,0.1221,-1.2,-1.4,0.0002,0.0285
2022-06-23 13:14:17,100_adjust_3-1,0,0.0015,0.0022,0.0000,0.1947,1.6,-1.2,102.0,0.1,0.2,0.0000,2.7,173.2,0,0.0032,0.0022,-0.0011,0.1222,0.1,0.2,-0.0019,0.0252
2022-06-23 13:14:21,100_adjust_1-2,0,0.0000,-0.0007,-0.0001,0.1948,1.6,-1.3,102.3,0.1,0.0,0.0000,2.6,-175.9,0,0.0023,0.0008,-0.0013,0.1217,0.1,0.1,-0.0021,0.0250
2022-06-23 13:14:24,100_adjust_1,0,-0.0020,-0.0015,0.0004,0.1969,1.6,-1.5,104.4,0.1,0.0,0.0000,4.2,-163.3,0,0.0023,0.0008,-0.0009,0.1219,0.1,0.0,-0.0017,0.0250
2022-06-23 13:14:34,101_initial,0,0.0177,0.0865,-0.0030,0.1930,1.6,-1.0,99.9,-0.1,-0.5,0.0000,5.5,102.7,0,0.0164,0.0772,-0.0066,0.1228,-0.2,-0.5,-0.0070,0.0139
2022-06-23 13:14:38,101_adjust_3-1,0,0.0010,-0.0021,-0.0008,0.1927,1.6,-1.0,99.5,0.0,0.0,0.0000,4.3,108.6,0,0.0007,-0.0089,-0.0045,0.1224,0.0,0.0,-0.0052,0.0121
2022-06-23 13:14:42,101_adjust_1-2,0,0.0004,0.0020,-0.0005,0.1931,1.6,-1.1,100.2,0.0,0.0,0.0000,5.3,104.1,0,-0.0003,-0.0049,-0.0044,0.1214,0.0,0.0,-0.0050,0.0119
2022-06-23 13:14:45,101_adjust_1,0,0.0006,-0.0004,-0.0001,0.1933,1.6,-1.1,100.3,0.0,0.0,0.0000,5.1,99.2,0,-0.0004,-0.0080,-0.0040,0.1218,0.0,0.0,-0.0046,0.0114
2022-06-23 13:14:55,102_initial,0,0.0166,0.1364,-0.0079,0.2591,3.2,0.9,96.8,0.0,-0.5,0.0000,0.6,0.7,0,0.0157,0.1366,-0.0146,0.1374,-0.4,-0.5,-0.0155,0.0200
2022-06-23 13:14:59,102_adjust_3-1,0,0.0011,-0.0022,0.0009,0.2601,3.1,0.8,98.1,0.0,0.0,0.0000,0.8,-53.7,0,0.0019,0.0026,-0.0054,0.1372,0.0,0.0,-0.0070,0.0191
2022-06-23 13:15:02,102_adjust_1-2,0,-0.0003,0.0003,0.0000,0.2599,3.1,0.8,98.0,0.0,0.0,0.0000,0.8,-53.0,0,0.0018,0.0051,-0.0065,0.1374,0.0,0.0,-0.0082,0.0192
2022-06-23 13:15:05,102_adjust_1,0,0.0002,-0.0003,0.0000,0.2592,3.2,0.9,97.1,0.0,0.0,0.0000,1.1,-59.1,0,0.0019,0.0059,-0.0066,0.1378,0.0,0.0,-0.0083,0.0195
2022-06-23 13:15:16,103_initial,0,0.0131,0.1958,-0.0065,0.2638,3.1,0.7,100.6,0.2,-0.5,0.0000,2.7,89.8,0,-0.0508,0.4761,-0.0148,0.1137,-0.1,-0.5,-0.0139,0.0168
2022-06-23 13:15:19,103_adjust_3-1,0,0.0041,-0.0052,0.0009,0.2638,3.0,0.6,101.1,0.0,0.0,0.0000,1.5,83.1,0,0.0059,-0.0126,-0.0060,0.1344,0.0,0.0,-0.0072,0.0170
2022-06-23 13:15:23,103_adjust_1-2,0,-0.0001,0.0001,-0.0002,0.2631,3.1,0.7,100.3,0.0,0.0,0.0000,1.3,87.0,0,0.0146,0.5137,-0.0081,0.0738,0.1,0.0,-0.0085,0.0211
2022-06-23 13:15:26,103_adjust_1,0,0.0003,0.0006,0.0000,0.2633,3.1,0.7,100.6,0.0,0.0,0.0000,1.6,84.6,2,INVALID,INVALID,INVALID,INVALID,0.1,0.0,-0.0084,0.0191
2022-06-23 13:15:38,104_initial,0,0.0252,0.0315,-0.0037,0.1937,1.7,-0.8,98.1,-0.2,-0.6,0.0000,6.3,101.7,0,0.0215,0.0143,-0.0081,0.1263,-0.2,-0.6,-0.0087,0.0162
2022-06-23 13:15:41,104_adjust_3-1,0,0.0003,-0.0008,-0.0001,0.1942,1.7,-0.9,98.8,0.0,0.0,0.0000,5.2,98.8,0,-0.0026,-0.0150,-0.0044,0.1262,0.0,0.0,-0.0054,0.0157
2022-06-23 13:15:45,104_adjust_1-2,0,-0.0006,0.0010,0.0001,0.1938,1.7,-0.9,98.4,0.0,0.0,0.0000,6.0,102.7,0,-0.0029,-0.0146,-0.0044,0.1265,0.0,0.0,-0.0053,0.0153
2022-06-23 13:15:48,104_adjust_1,0,0.0010,-0.0003,-0.0006,0.1939,1.7,-0.9,98.6,0.0,0.0,0.0000,5.7,99.1,0,-0.0019,-0.0132,-0.0051,0.1246,0.0,0.0,-0.0060,0.0148
2022-06-23 13:15:58,105_initial,0,0.0210,0.0829,-0.0096,0.1960,1.6,-1.0,100.6,-0.2,-0.6,0.0000,4.6,98.2,0,0.0185,0.0763,-0.0136,0.1220,-0.2,-0.6,-0.0139,0.0102
2022-06-23 13:16:02,105_adjust_3-1,0,0.0001,-0.0015,0.0013,0.1946,1.7,-0.9,99.2,0.0,0.0,0.0000,3.1,97.5,0,-0.0021,-0.0052,-0.0028,0.1226,0.0,0.0,-0.0035,0.0092
2022-06-23 13:16:06,105_adjust_1-2,0,0.0002,0.0006,0.0000,0.1947,1.7,-0.9,99.3,0.0,0.0,0.0000,3.8,94.5,0,-0.0024,-0.0040,-0.0044,0.1225,0.0,0.0,-0.0050,0.0096
2022-06-23 13:16:09,105_adjust_1,0,-0.0003,0.0000,0.0000,0.1944,1.7,-0.9,99.0,0.0,0.0,0.0000,4.0,98.4,0,-0.0022,-0.0053,-0.0043,0.1228,0.0,0.0,-0.0049,0.0096
2022-06-23 13:16:19,106_initial,0,0.0189,0.1293,-0.0122,0.2605,3.2,1.0,96.5,-0.1,-0.6,0.0000,1.8,-57.1,0,0.0145,0.1307,-0.0189,0.1406,-0.4,-0.6,-0.0198,0.0191
2022-06-23 13:16:23,106_adjust_3-1,0,0.0007,-0.0013,0.0012,0.2603,3.2,1.0,96.5,0.0,0.0,0.0000,2.1,-68.0,0,-0.0033,0.0062,-0.0053,0.1408,0.0,0.0,-0.0069,0.0185
2022-06-23 13:16:27,106_adjust_1-2,0,0.0006,0.0004,-0.0005,0.2604,3.2,1.0,96.6,0.0,0.0,0.0000,2.1,-65.3,0,-0.0039,0.0055,-0.0072,0.1405,0.0,0.0,-0.0089,0.0191
2022-06-23 13:16:30,106_adjust_1,0,-0.0001,-0.0001,0.0000,0.2602,3.2,1.0,96.5,0.0,0.0,0.0000,2.1,-65.8,0,-0.0050,0.0053,-0.0066,0.1400,0.0,0.0,-0.0083,0.0190
2022-06-23 13:16:40,107_initial,0,0.0148,0.1897,-0.0113,0.2629,3.2,0.8,98.8,0.2,-0.6,0.0000,2.5,98.1,0,-0.0533,0.0409,-0.0177,0.0828,-0.1,-0.6,-0.0185,0.0179
2022-06-23 13:16:44,107_adjust_3-1,0,0.0010,-0.0026,0.0019,0.2632,3.1,0.8,99.1,0.0,0.0,0.0000,1.1,110.1,0,0.3622,0.3997,-0.0054,0.0979,0.0,0.0,-0.0055,0.0170
2022-06-23 13:16:48,107_adjust_1-2,0,0.0006,0.0009,0.0000,0.2637,3.1,0.8,99.5,0.0,0.0,0.0000,1.6,96.8,2,INVALID,INVALID,INVALID,INVALID,0.0,0.0,-0.0074,0.0175
2022-06-23 13:16:51,107_adjust_1,0,0.0004,-0.0001,-0.0002,0.2637,3.1,0.8,99.5,0.1,0.0,0.0000,1.5,89.7,0,0.1810,0.4407,-0.0073,0.0887,0.0,0.0,-0.0076,0.0174
2022-06-23 13:17:02,108_initial,0,0.0304,0.0288,-0.0089,0.1950,1.6,-1.1,100.8,-0.1,-0.5,0.0000,6.4,109.7,0,0.0313,0.0197,-0.0135,0.1204,-0.2,-0.5,-0.0138,0.0105
2022-06-23 13:17:06,108_adjust_3-1,0,-0.0022,-0.0014,0.0015,0.1950,1.6,-1.1,101.1,0.0,0.0,0.0000,6.1,109.0,0,0.0000,-0.0116,-0.0030,0.1211,0.0,0.0,-0.0037,0.0089
2022-06-23 13:17:10,108_adjust_1-2,0,0.0003,0.0007,-0.0002,0.1954,1.6,-1.2,101.6,0.0,0.0,0.0000,6.3,107.4,0,0.0019,-0.0095,-0.0049,0.1207,0.0,0.0,-0.0055,0.0094
2022-06-23 13:17:13,108_adjust_1,0,-0.0003,-0.0005,0.0000,0.1951,1.6,-1.1,101.3,0.0,0.0,0.0000,6.3,107.5,0,0.0007,-0.0107,-0.0046,0.1205,0.0,0.0,-0.0052,0.0091
2022-06-23 13:17:23,109_initial,0,0.0236,0.0800,-0.0146,0.1935,1.7,-0.8,98.1,-0.2,-0.5,0.0000,4.9,99.0,0,0.0185,0.0711,-0.0185,0.1254,-0.2,-0.5,-0.0189,0.0104
2022-06-23 13:17:27,109_adjust_3-1,0,0.0011,-0.0009,0.0011,0.1936,1.7,-0.9,98.3,0.0,0.0,0.0000,4.4,95.6,0,-0.0033,-0.0079,-0.0031,0.1249,0.0,0.0,-0.0039,0.0096
2022-06-23 13:17:31,109_adjust_1-2,0,-0.0006,-0.0004,0.0002,0.1935,1.7,-0.9,98.2,0.0,0.0,0.0000,4.2,99.7,0,-0.0058,-0.0070,-0.0041,0.1248,0.0,0.0,-0.0050,0.0102
2022-06-23 13:17:34,109_adjust_1,0,0.0005,0.0006,-0.0002,0.1933,1.7,-0.8,97.9,0.0,0.0,0.0000,4.6,100.9,0,-0.0039,-0.0062,-0.0044,0.1245,0.0,0.0,-0.0052,0.0098
2022-06-23 13:17:44,110_initial,0,0.0226,0.1272,-0.0169,0.2598,3.2,1.0,96.1,-0.1,-0.5,0.0000,0.6,-34.5,0,0.0180,0.1263,-0.0231,0.1379,-0.4,-0.6,-0.0242,0.0188
2022-06-23 13:17:48,110_adjust_3-1,0,0.0007,-0.0009,0.0014,0.2601,3.2,1.0,96.5,0.0,0.0,0.0000,1.3,-65.8,0,-0.0020,0.0024,-0.0048,0.1389,0.0,0.0,-0.0065,0.0185
2022-06-23 13:17:52,110_adjust_1-2,0,-0.0001,-0.0001,-0.0001,0.2595,3.2,1.0,96.0,0.0,0.0,0.0000,1.3,-68.4,0,-0.0029,0.0030,-0.0064,0.1388,0.0,0.0,-0.0081,0.0184
2022-06-23 13:17:55,110_adjust_1,0,0.0001,-0.0006,0.0002,0.2581,3.3,1.1,94.6,0.0,0.0,0.0000,1.5,-67.5,0,-0.0043,0.0026,-0.0061,0.1377,0.0,0.0,-0.0077,0.0181
