timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-29 13:48:58,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.2730,0.1874,0.2569,0.1227,-0.5,-0.7,0.2617,0.0056
2022-06-29 13:49:04,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0013,-0.0038,0.0002,0.1232,-0.5,-0.6,0.0002,0.0059
2022-06-29 13:49:18,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0094,0.1132,-0.0428,0.1237,-0.5,-0.6,-0.0419,0.0063
2022-06-29 13:49:25,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0018,-0.0011,-0.0017,0.1233,-0.5,-0.6,-0.0017,0.0071
2022-06-29 13:49:40,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.2037,0.2389,0.2894,0.1228,-0.5,-0.7,0.2937,0.0063
2022-06-29 13:49:47,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0001,-0.0026,0.0000,0.1233,-0.5,-0.6,0.0000,0.0056
2022-06-29 13:49:59,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0590,0.1713,0.1261,0.1228,-0.5,-0.6,0.1271,0.0063
2022-06-29 13:50:06,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0001,-0.0012,-0.0027,0.1234,-0.5,-0.6,-0.0026,0.0056
2022-06-29 13:50:19,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0496,0.1615,0.1048,0.1233,-0.5,-0.6,0.1057,0.0071
2022-06-29 13:50:26,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0009,-0.0007,-0.0022,0.1233,-0.5,-0.6,-0.0022,0.0065
2022-11-06 08:18:08,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1097,-0.1548,0.2571,0.1228,-1.1,-0.2,0.2545,0.0048
2022-11-06 08:18:12,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0000,-0.0007,0.0049,0.1220,-1.1,-0.2,0.0049,0.0048
2022-11-06 08:18:22,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1231,-0.2994,-0.1098,0.1228,-1.0,-0.2,-0.1157,0.0078
2022-11-06 08:18:25,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0008,-0.0013,0.0032,0.1221,-1.1,-0.2,0.0032,0.0061
2022-11-06 08:18:34,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0595,-0.0257,-0.0243,0.1224,-1.1,-0.2,-0.0250,0.0047
2022-11-06 08:18:38,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0008,0.0001,0.0004,0.1221,-1.1,-0.2,0.0004,0.0056
2022-11-06 08:18:47,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1607,-0.3167,0.0300,0.1222,-1.0,-0.2,0.0246,0.0083
2022-11-06 08:18:50,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0016,-0.0011,0.0047,0.1222,-1.1,-0.2,0.0047,0.0060
2022-11-06 08:18:59,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1516,-0.0944,0.0568,0.1222,-1.1,-0.2,0.0546,0.0054
2022-11-06 08:19:03,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0019,-0.0014,0.0043,0.1223,-1.1,-0.2,0.0043,0.0055
