time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T10:43:57.265000,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1119,0.0304,0.1741,0.1222,-0.72,-0.04,0.1744,0.0044
2022-11-11T10:44:01.416000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0004,0.0015,-0.0024,0.1220,-0.72,-0.04,-0.0024,0.0048
2022-11-11T10:44:10.809000,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0984,-0.2031,0.1623,0.1222,-0.75,-0.04,0.1597,0.0046
2022-11-11T10:44:14.999000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0019,-0.0004,-0.0004,0.1223,-0.72,-0.04,-0.0003,0.0055
2022-11-11T10:44:24.381000,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1848,-0.0500,0.0950,0.1225,-0.74,-0.05,0.0946,0.0064
2022-11-11T10:44:28.578000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0022,0.0003,0.0002,0.1222,-0.71,-0.04,0.0002,0.0065
2022-11-11T10:44:38.312000,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.2912,0.1865,0.1742,0.1222,-0.76,-0.08,0.1770,0.0066
2022-11-11T10:44:42.808000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0020,0.0002,-0.0002,0.1222,-0.70,-0.04,-0.0002,0.0059
2022-11-11T10:44:52.456000,random_0.25in_offset,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0635,-0.1187,-0.1287,0.1222,-0.69,-0.03,-0.1302,0.0044
2022-11-11T10:44:56.685000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0024,0.0008,-0.0016,0.1221,-0.70,-0.04,-0.0016,0.0053
