timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-23 19:28:52,100_initial,0,0.2192,-0.0281,0.1867,0.1925,1.6,-1.1,99.8,-1.6,-1.4,0.0000,2.4,120.1,0,0.2166,-0.0315,0.1842,0.1225,-1.6,-1.6,0.1880,0.0259
2022-06-23 19:28:56,100_adjust_3-1,0,-0.0045,-0.0022,0.0023,0.1934,1.6,-1.1,100.4,0.0,-0.2,0.0000,2.6,138.3,0,-0.0043,-0.0039,0.0010,0.1219,0.0,-0.2,0.0002,0.0243
2022-06-23 19:28:59,100_adjust_1-2,0,-0.0004,-0.0006,-0.0004,0.1945,1.6,-1.2,102.0,0.0,0.0,0.0000,2.6,162.3,0,0.0015,-0.0007,-0.0016,0.1221,0.0,0.0,-0.0025,0.0248
2022-06-23 19:29:02,100_adjust_1,0,0.0000,0.0000,0.0002,0.1945,1.6,-1.2,101.9,0.0,0.0,0.0000,2.7,165.5,0,0.0021,-0.0001,-0.0010,0.1222,0.0,0.0,-0.0019,0.0245
2022-06-23 19:29:19,101_initial,0,0.1938,-0.1208,0.0582,0.1926,1.6,-1.0,99.4,4.7,-1.1,0.0000,3.0,123.0,0,0.1928,-0.1167,0.0544,0.1215,5.0,-1.5,0.0652,0.0322
2022-06-23 19:29:23,101_adjust_3-1,0,0.0063,-0.0005,0.0026,0.1928,1.6,-1.0,99.6,0.0,0.1,0.0000,5.2,101.3,0,0.0043,-0.0079,-0.0013,0.1212,0.0,0.1,-0.0019,0.0121
2022-06-23 19:29:27,101_adjust_1-2,0,0.0004,0.0002,-0.0006,0.1933,1.6,-1.1,100.4,0.0,0.0,0.0000,4.8,101.2,0,-0.0004,-0.0072,-0.0045,0.1220,0.0,0.0,-0.0051,0.0119
2022-06-23 19:29:30,101_adjust_1,0,-0.0007,-0.0001,0.0004,0.1929,1.6,-1.0,99.8,0.0,0.0,0.0000,5.0,104.6,0,-0.0019,-0.0079,-0.0035,0.1217,0.0,0.0,-0.0041,0.0116
2022-06-23 19:29:47,102_initial,0,0.0945,-0.1088,0.1704,0.2605,3.1,0.8,98.4,3.7,2.1,0.0000,1.5,-77.8,0,0.0983,-0.0934,0.1651,0.1364,4.0,1.9,0.1659,0.0250
2022-06-23 19:29:51,102_adjust_3-1,0,0.0006,-0.0015,-0.0005,0.2593,3.2,0.9,97.2,0.0,0.1,0.0000,1.0,-63.5,0,0.0011,0.0036,-0.0072,0.1366,0.0,0.1,-0.0089,0.0195
2022-06-23 19:29:55,102_adjust_1-2,0,-0.0005,0.0002,0.0002,0.2587,3.2,1.0,96.7,0.0,0.0,0.0000,1.0,-66.0,0,-0.0003,0.0054,-0.0063,0.1363,0.0,0.0,-0.0080,0.0194
2022-06-23 19:29:58,102_adjust_1,0,0.0002,0.0001,0.0000,0.2593,3.2,0.9,97.3,0.0,0.0,0.0000,0.9,-61.6,0,0.0002,0.0056,-0.0066,0.1363,0.0,0.0,-0.0083,0.0195
