timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-29 13:54:38,random_10deg_tilt,0,0.0039,0.1089,0.0047,0.1957,1.6,-1.1,101.0,-0.3,6.6,0.0000,6.1,96.4,0,0.0103,0.1013,0.0014,0.1224,-0.6,6.7,-0.0035,0.0424
2022-06-29 13:54:44,adjust_2,0,0.0004,0.1076,-0.0052,0.1950,1.7,-0.9,99.4,-0.1,0.0,0.0000,5.6,98.2,0,-0.0009,0.0994,-0.0091,0.1227,-0.1,0.0,-0.0096,0.0098
2022-06-29 13:54:56,random_10deg_tilt,0,-0.0070,0.1138,0.0024,0.1957,1.6,-1.2,101.6,8.0,-6.4,0.0000,5.3,88.9,0,-0.0178,0.1175,-0.0002,0.1215,7.9,-6.5,-0.0235,0.0409
2022-06-29 13:55:04,adjust_2,0,0.0023,0.1107,-0.0049,0.1951,1.7,-0.9,99.4,0.1,0.1,0.0000,5.6,96.5,0,0.0008,0.1029,-0.0090,0.1222,0.0,0.1,-0.0097,0.0101
2022-06-29 13:55:15,random_10deg_tilt,0,0.0055,0.1087,0.0068,0.1955,1.6,-1.0,100.1,-0.4,8.7,0.0000,5.5,95.4,0,0.0148,0.1012,0.0042,0.1217,-0.8,9.0,-0.0035,0.0519
2022-06-29 13:55:22,adjust_2,0,0.0013,0.1102,-0.0056,0.1951,1.7,-1.0,99.7,0.0,0.0,0.0000,5.9,98.7,0,-0.0005,0.1007,-0.0096,0.1227,-0.1,0.0,-0.0101,0.0102
2022-06-29 13:55:32,random_10deg_tilt,0,0.0068,0.0999,-0.0235,0.1963,1.7,-0.9,99.5,-10.0,-3.6,0.0000,6.1,93.2,0,-0.0022,0.0774,-0.0237,0.1230,-10.4,-3.7,-0.0142,0.0363
2022-06-29 13:55:38,adjust_2,0,0.0006,0.1091,-0.0050,0.1949,1.7,-0.9,99.3,0.1,-0.1,0.0000,5.6,98.6,0,-0.0013,0.1012,-0.0091,0.1227,0.0,-0.1,-0.0099,0.0095
2022-06-29 13:55:48,random_10deg_tilt,0,-0.0074,0.1164,0.0152,0.1968,1.6,-1.1,101.7,9.8,0.4,0.0000,6.0,99.2,0,-0.0057,0.1210,0.0113,0.1210,9.7,0.4,-0.0132,0.0341
2022-06-29 13:55:55,adjust_2,0,0.0023,0.1109,-0.0050,0.1959,1.7,-1.0,99.9,0.0,0.1,0.0000,5.5,95.9,0,0.0011,0.1025,-0.0092,0.1221,0.0,0.1,-0.0099,0.0105
