time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:11:14.687000,random_10deg_tilt,0,0.0771,0.0624,-0.0412,0.1957,0.0646,-0.0407,100.46,-2.61,-0.12,0.0000,5.88,98.84,0,0.0748,0.0517,-0.0451,0.1215,-2.71,-0.19,-0.0439,0.0202
2022-11-11T11:11:18.933000,adjust_2,0,0.0764,0.0666,-0.0414,0.1957,0.0641,-0.0426,100.87,-0.01,-0.02,0.0000,5.85,97.31,0,0.0749,0.0586,-0.0458,0.1220,-0.06,-0.07,-0.0464,0.0106
2022-11-11T11:11:27.834000,random_10deg_tilt,0,0.0789,0.0729,-0.0162,0.1950,0.0643,-0.0406,100.23,5.59,7.30,0.0000,5.13,89.33,0,0.0852,0.0736,-0.0198,0.1211,5.50,7.25,-0.0433,0.0461
2022-11-11T11:11:32.481000,adjust_2,0,0.0773,0.0684,-0.0420,0.1955,0.0643,-0.0415,100.57,0.01,0.03,0.0000,6.08,96.00,0,0.0758,0.0608,-0.0464,0.1216,-0.04,-0.02,-0.0471,0.0111
2022-11-11T11:11:41.767000,random_10deg_tilt,0,0.0628,0.0768,-0.0541,0.1948,0.0640,-0.0411,100.31,7.61,-8.94,0.0000,4.05,97.57,0,0.0503,0.0811,-0.0561,0.1208,7.49,-9.38,-0.0653,0.0496
2022-11-11T11:11:46.677000,adjust_2,0,0.0773,0.0687,-0.0414,0.1954,0.0644,-0.0408,100.39,-0.03,0.03,0.0000,6.05,96.94,0,0.0750,0.0613,-0.0458,0.1214,-0.07,-0.03,-0.0465,0.0101
2022-11-11T11:11:55.247000,random_10deg_tilt,0,0.0781,0.0630,-0.0402,0.1950,0.0653,-0.0368,99.32,-2.36,0.22,0.0000,5.57,98.13,0,0.0758,0.0522,-0.0441,0.1219,-2.46,0.15,-0.0434,0.0189
2022-11-11T11:11:59.539000,adjust_2,0,0.0768,0.0682,-0.0418,0.1955,0.0643,-0.0415,100.58,-0.01,-0.02,0.0000,6.11,98.78,0,0.0754,0.0602,-0.0462,0.1215,-0.05,-0.07,-0.0469,0.0106
2022-11-11T11:12:08.809000,random_10deg_tilt,0,0.0653,0.0800,-0.0407,0.1961,0.0637,-0.0448,101.48,9.17,-4.82,0.0000,5.69,97.03,0,0.0571,0.0842,-0.0444,0.1207,9.14,-5.05,-0.0570,0.0363
2022-11-11T11:12:13.664000,adjust_2,0,0.0771,0.0689,-0.0413,0.1956,0.0643,-0.0418,100.66,0.01,0.04,0.0000,6.23,99.86,0,0.0748,0.0601,-0.0458,0.1219,-0.04,-0.02,-0.0464,0.0102
