timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-24 11:20:14,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0694,0.0446,0.0265,0.1230,4.3,-5.7,0.0296,0.0114
2022-06-24 11:20:18,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0709,0.0432,0.0400,0.1237,0.0,0.1,0.0398,0.0091
2022-06-24 11:20:26,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0744,0.0469,0.0313,0.1227,-7.0,-3.2,0.0388,0.0282
2022-06-24 11:20:30,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0702,0.0408,0.0406,0.1237,0.1,0.0,0.0405,0.0073
2022-06-24 11:20:38,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0716,0.0457,0.0407,0.1224,-1.6,-0.5,0.0426,0.0060
2022-06-24 11:20:42,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0704,0.0421,0.0404,0.1238,-0.2,0.0,0.0406,0.0063
2022-06-24 11:20:50,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0733,0.0464,0.0482,0.1230,-6.2,4.7,0.0453,0.0254
2022-06-24 11:20:54,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0705,0.0415,0.0398,0.1237,0.0,0.0,0.0397,0.0076
2022-06-24 11:21:02,random_10deg_tilt,0,0.0706,0.0725,0.0548,0.1504,1.0,-0.1,76.4,8.0,3.6,0.0000,17.6,73.5,0,0.0650,0.0409,0.0460,0.1230,8.0,3.7,0.0348,0.0222
2022-06-24 11:21:06,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0713,0.0428,0.0400,0.1234,0.0,0.1,0.0398,0.0083
