time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:18:20.952000,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0891,-0.0189,0.0263,0.1221,-3.87,3.52,0.0193,0.0103
2022-11-11T11:18:25.356000,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0880,-0.0209,0.0162,0.1222,-0.05,-0.02,0.0163,0.0052
2022-11-11T11:18:35.216000,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0902,-0.0187,0.0303,0.1220,-6.33,3.00,0.0222,0.0200
2022-11-11T11:18:39.720000,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0882,-0.0209,0.0166,0.1223,0.01,0.02,0.0166,0.0054
2022-11-11T11:18:49.612000,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0812,-0.0144,-0.0134,0.1222,9.13,-9.30,0.0003,0.0250
2022-11-11T11:18:54.436000,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0883,-0.0199,0.0163,0.1221,-0.10,0.16,0.0161,0.0060
2022-11-11T11:19:04.446000,random_10deg_tilt,0,0.0872,0.0032,0.0115,0.1400,0.4841,0.1311,5.17,7.56,-1.75,0.0000,11.20,30.65,0,0.0831,-0.0177,0.0047,0.1223,7.64,-1.78,0.0082,0.0228
2022-11-11T11:19:09.109000,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0884,-0.0202,0.0160,0.1222,0.03,0.06,0.0160,0.0044
2022-11-11T11:19:19.224000,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0936,-0.0169,0.0235,0.1222,-9.36,-3.94,0.0244,0.0305
2022-11-11T11:19:23.899000,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0881,-0.0208,0.0165,0.1222,0.12,0.13,0.0164,0.0044
