time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:21:46.411000,random_0.25in_10deg,0,0.0946,-0.1016,0.1713,0.1952,0.0646,-0.0397,100.08,-7.38,4.27,0.0000,4.88,94.43,0,0.0976,-0.1165,0.1690,0.1226,-7.29,4.14,0.1428,0.0383
2022-11-11T11:21:52.036000,adjust_3-1,0,-0.0087,0.0057,-0.0052,0.1948,0.0645,-0.0391,99.85,0.02,0.01,0.0000,4.80,93.17,0,-0.0111,0.0014,-0.0096,0.1213,0.01,0.01,-0.0103,0.0104
2022-11-11T11:21:57.216000,adjust_3-2,0,-0.0002,-0.0001,-0.0001,0.1944,0.0651,-0.0363,99.05,0.00,-0.00,0.0000,4.43,94.23,0,-0.0019,-0.0046,-0.0046,0.1219,0.00,-0.00,-0.0052,0.0094
2022-11-11T11:22:01.314000,adjust_1,0,0.0002,-0.0001,0.0000,0.1943,0.0651,-0.0359,98.92,0.00,-0.00,0.0000,4.21,93.40,0,-0.0023,-0.0047,-0.0044,0.1219,0.00,-0.00,-0.0051,0.0093
2022-11-11T11:22:11.753000,random_0.25in_10deg,0,0.2301,0.1429,-0.3143,0.1983,0.0635,-0.0504,103.28,8.80,-9.38,0.0000,7.96,95.42,0,0.2182,0.1409,-0.3178,0.1201,8.44,-10.50,-0.3096,0.0519
2022-11-11T11:22:17.530000,adjust_3-1,0,0.0097,-0.0090,0.0139,0.1947,0.0648,-0.0378,99.49,0.01,0.05,0.0000,4.09,90.52,0,0.0069,-0.0123,0.0095,0.1213,0.02,0.05,0.0088,0.0098
2022-11-11T11:22:22.991000,adjust_3-2,0,-0.0011,0.0005,0.0005,0.1944,0.0650,-0.0366,99.12,0.02,0.01,0.0000,4.31,93.82,0,-0.0035,-0.0043,-0.0041,0.1217,0.02,0.01,-0.0047,0.0092
2022-11-11T11:22:26.993000,adjust_1,0,-0.0001,-0.0004,0.0000,0.1943,0.0649,-0.0369,99.18,0.02,0.01,0.0000,4.30,97.17,0,-0.0023,-0.0048,-0.0044,0.1217,0.02,0.01,-0.0051,0.0093
2022-11-11T11:22:37.093000,random_0.25in_10deg,0,0.2306,0.1158,-0.0818,0.1969,0.0657,-0.0391,100.33,-7.87,-0.98,0.0000,6.57,96.20,0,0.2263,0.0943,-0.0843,0.1233,-8.25,-1.48,-0.0706,0.0345
2022-11-11T11:22:42.865000,adjust_3-1,0,-0.0056,0.0040,-0.0014,0.1948,0.0650,-0.0375,99.44,0.09,0.03,0.0000,4.26,95.96,0,-0.0077,-0.0000,-0.0059,0.1217,0.09,0.03,-0.0066,0.0097
2022-11-11T11:22:48.125000,adjust_3-2,0,-0.0003,-0.0004,0.0002,0.1943,0.0651,-0.0359,98.92,0.01,-0.00,0.0000,4.15,94.37,0,-0.0024,-0.0044,-0.0043,0.1217,0.01,-0.00,-0.0050,0.0094
2022-11-11T11:22:52.101000,adjust_1,0,0.0002,0.0002,-0.0002,0.1946,0.0650,-0.0369,99.23,0.00,-0.00,0.0000,4.27,96.90,0,-0.0019,-0.0044,-0.0047,0.1218,0.00,-0.01,-0.0054,0.0095
2022-11-11T11:23:02.624000,random_0.25in_10deg,0,0.1418,0.1611,-0.1796,0.1972,0.0663,-0.0374,100.00,-6.15,-3.81,0.0000,7.15,101.67,0,0.1342,0.1400,-0.1819,0.1230,-6.66,-4.21,-0.1616,0.0387
2022-11-11T11:23:08.319000,adjust_3-1,0,-0.0068,0.0001,0.0031,0.1948,0.0646,-0.0389,99.80,0.05,-0.01,0.0000,4.99,95.47,0,-0.0083,-0.0039,-0.0013,0.1212,0.05,-0.00,-0.0020,0.0091
2022-11-11T11:23:13.557000,adjust_3-2,0,0.0004,-0.0002,-0.0001,0.1946,0.0650,-0.0373,99.36,0.02,0.00,0.0000,4.45,93.84,0,-0.0013,-0.0043,-0.0046,0.1217,0.02,0.00,-0.0053,0.0093
2022-11-11T11:23:18.028000,adjust_1,0,-0.0004,-0.0003,0.0001,0.1943,0.0651,-0.0362,99.00,0.02,0.00,0.0000,4.33,95.42,0,-0.0023,-0.0043,-0.0044,0.1215,0.02,0.00,-0.0051,0.0095
2022-11-11T11:23:28.084000,random_0.25in_10deg,0,0.0070,-0.1270,-0.0326,0.1948,0.0647,-0.0386,99.71,-0.74,-1.83,0.0000,4.00,105.92,0,0.0024,-0.1302,-0.0365,0.1215,-0.64,-1.85,-0.0387,0.0121
2022-11-11T11:23:33.382000,adjust_3-1,0,0.0024,0.0034,0.0022,0.1948,0.0646,-0.0389,99.80,-0.05,0.00,0.0000,4.73,91.36,0,0.0002,-0.0016,-0.0022,0.1214,-0.05,-0.00,-0.0029,0.0096
2022-11-11T11:23:38.579000,adjust_3-2,0,-0.0016,-0.0001,0.0003,0.1943,0.0652,-0.0358,98.90,0.00,-0.00,0.0000,4.38,99.62,0,-0.0030,-0.0045,-0.0042,0.1214,0.00,-0.00,-0.0048,0.0090
2022-11-11T11:23:42.579000,adjust_1,0,0.0008,0.0005,-0.0004,0.1951,0.0642,-0.0411,100.37,0.01,0.00,0.0000,4.85,93.06,0,-0.0020,-0.0045,-0.0049,0.1211,0.01,-0.00,-0.0056,0.0095
