timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-24 11:24:35,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.2377,-0.0043,-0.1212,0.1236,-8.5,-5.0,-0.1051,0.0298
2022-06-24 11:24:39,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0013,-0.0028,0.0000,0.1236,0.1,0.3,0.0000,0.0052
2022-06-24 11:24:44,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,-0.0009,-0.0002,0.1241,-0.1,0.0,-0.0002,0.0070
2022-06-24 11:24:47,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0009,0.0002,-0.0009,0.1239,0.0,0.0,-0.0009,0.0076
2022-06-24 11:24:56,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.3068,-0.1346,-0.1001,0.1233,0.2,-3.9,-0.0791,0.0085
2022-06-24 11:25:00,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0030,-0.0069,0.0080,0.1241,-0.1,0.1,0.0080,0.0049
2022-06-24 11:25:05,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0006,0.0001,-0.0010,0.1241,0.1,0.0,-0.0010,0.0054
2022-06-24 11:25:08,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0007,0.0006,0.0001,0.1241,0.0,0.0,0.0001,0.0052
2022-06-24 11:25:17,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1848,0.0241,0.1997,0.1230,0.9,5.8,0.1801,0.0137
2022-06-24 11:25:22,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0026,-0.0048,-0.0031,0.1240,-0.1,0.0,-0.0031,0.0050
2022-06-24 11:25:26,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0009,0.0007,0.0005,0.1239,0.0,0.0,0.0005,0.0054
2022-06-24 11:25:29,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0007,-0.0004,-0.0006,0.1240,0.0,0.0,-0.0006,0.0064
2022-06-24 11:25:38,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0617,-0.1724,0.1492,0.1235,6.4,-7.2,0.1597,0.0150
2022-06-24 11:25:43,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0026,-0.0069,0.0141,0.1238,-0.1,0.1,0.0141,0.0044
2022-06-24 11:25:47,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0004,0.0005,-0.0002,0.1243,0.0,0.0,-0.0001,0.0059
2022-06-24 11:25:50,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0005,-0.0001,0.0000,0.1242,0.0,0.0,0.0001,0.0048
2022-06-24 11:25:59,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.2743,-0.0729,-0.2024,0.1230,9.0,3.0,-0.2072,0.0206
2022-06-24 11:26:04,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0093,-0.0067,0.0047,0.1234,-0.1,0.3,0.0047,0.0062
2022-06-24 11:26:08,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0006,0.0002,-0.0006,0.1238,0.0,0.0,-0.0006,0.0055
2022-06-24 11:26:12,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0002,-0.0005,-0.0004,0.1241,0.0,0.0,-0.0004,0.0063
