time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:24:57.125000,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1113,-0.0596,-0.0555,0.1222,-9.65,-0.78,-0.0703,0.0325
2022-11-11T11:25:02.962000,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0050,0.0000,-0.0108,0.1224,0.09,-0.18,-0.0108,0.0050
2022-11-11T11:25:08.337000,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0007,-0.0005,0.0000,0.1223,0.01,0.00,0.0001,0.0056
2022-11-11T11:25:12.116000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0006,0.0003,-0.0006,0.1222,0.01,0.01,-0.0005,0.0051
2022-11-11T11:25:23.261000,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1514,-0.2048,0.1235,0.1220,-6.13,-2.85,0.0931,0.0138
2022-11-11T11:25:28.734000,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0026,-0.0007,-0.0017,0.1223,-0.07,-0.06,-0.0017,0.0057
2022-11-11T11:25:33.861000,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,0.0004,-0.0009,0.1222,0.01,0.00,-0.0008,0.0047
2022-11-11T11:25:37.790000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0000,-0.0002,0.0007,0.1225,0.01,0.00,0.0007,0.0046
2022-11-11T11:25:48.780000,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0558,0.1175,0.0125,0.1219,-6.34,6.30,0.0159,0.0348
2022-11-11T11:25:54.506000,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0068,0.0014,-0.0079,0.1222,0.29,-0.03,-0.0079,0.0051
2022-11-11T11:25:59.767000,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0011,-0.0003,-0.0006,0.1224,0.01,0.01,-0.0006,0.0056
2022-11-11T11:26:03.682000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0005,-0.0003,0.1223,0.01,0.01,-0.0002,0.0054
2022-11-11T11:26:14.514000,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0610,-0.0803,0.0303,0.1225,2.73,2.88,0.0369,0.0110
2022-11-11T11:26:19.954000,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0010,-0.0026,0.0031,0.1225,0.01,-0.00,0.0031,0.0066
2022-11-11T11:26:25.070000,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,-0.0002,-0.0001,0.1224,0.01,-0.00,-0.0001,0.0051
2022-11-11T11:26:29.012000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,0.0002,-0.0005,0.1223,0.01,-0.00,-0.0004,0.0052
2022-11-11T11:26:40.199000,random_0.25in_10deg,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1369,-0.0143,0.0708,0.1220,6.98,-7.81,0.0522,0.0217
2022-11-11T11:26:46.030000,adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0047,-0.0030,0.0098,0.1222,-0.05,-0.01,0.0098,0.0055
2022-11-11T11:26:51.386000,adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0004,0.0002,0.1223,0.01,0.00,0.0002,0.0053
2022-11-11T11:26:55.625000,adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0003,-0.0009,0.1222,0.01,0.00,-0.0009,0.0063
