gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
100,0,-0.0206,-0.0359,-0.0228,0.1927,1.6,-1.1,99.9,-1.7,-0.6,0.0000,3.2,109.3,0,-0.0217,-0.0418,-0.0244,0.1220
100,0,-0.0016,-0.0011,0.0000,0.1930,1.6,-1.1,100.1,-1.8,-0.8,0.0000,3.1,120.1,0,-0.0020,-0.0080,-0.0010,0.1221
101,0,-0.0228,0.0185,-0.0582,0.1934,1.6,-1.0,100.0,-2.0,-0.2,0.0000,4.9,107.0,0,-0.0235,0.0068,-0.0616,0.1221
101,0,0.0023,0.0006,-0.0015,0.1934,1.6,-1.1,100.2,-2.0,-0.2,0.0000,5.0,104.3,0,0.0006,-0.0107,-0.0049,0.1230
102,0,-0.0239,0.0676,-0.1054,0.2605,3.2,0.9,97.6,-2.9,-0.2,0.0000,0.4,-31.6,0,-0.0239,0.0630,-0.1120,0.1375
102,0,0.0009,-0.0007,-0.0013,0.2600,3.2,0.9,97.4,-2.9,-0.2,0.0000,0.4,-79.8,0,0.0017,-0.0043,-0.0078,0.1371
103,0,-0.0274,0.1265,-0.1641,0.2639,3.1,0.7,100.1,-3.5,-0.2,0.0000,1.5,93.5,0,-0.0247,0.1117,-0.1714,0.1357
103,0,0.0001,-0.0007,0.0002,0.2622,3.1,0.8,99.1,-3.6,-0.2,0.0000,1.0,118.4,0,0.0258,0.1843,-0.0208,0.0635
104,0,-0.0166,-0.0346,-0.0225,0.1941,1.7,-0.9,98.7,-1.2,-0.2,0.0000,5.8,98.7,0,-0.0209,-0.0559,-0.0265,0.1287
104,0,0.0009,0.0004,0.0006,0.1941,1.7,-0.9,98.5,-1.1,-0.3,0.0000,5.1,95.6,0,-0.0028,-0.0181,-0.0035,0.1283
105,0,-0.0216,0.0141,-0.0568,0.1948,1.7,-0.9,98.8,-2.1,-0.3,0.0000,4.4,103.5,0,-0.0239,0.0046,-0.0607,0.1233
105,0,0.0009,0.0010,-0.0011,0.1947,1.7,-0.9,98.8,-2.1,-0.3,0.0000,4.7,102.3,0,-0.0023,-0.0085,-0.0050,0.1238
106,0,-0.0187,0.0624,-0.1059,0.2607,3.2,1.0,96.3,-2.8,-0.3,0.0000,2.4,-56.8,0,-0.0226,0.0586,-0.1125,0.1426
106,0,0.0000,-0.0002,-0.0004,0.2605,3.2,1.0,96.6,-2.9,-0.3,0.0000,2.2,-61.4,0,-0.0046,-0.0017,-0.0070,0.1411
107,0,-0.0248,0.1223,-0.1647,0.2625,3.2,1.0,97.5,-3.5,-0.3,0.0000,1.7,108.7,0,-0.0199,0.1098,-0.1715,0.1386
107,0,0.0001,-0.0033,0.0015,0.2611,3.2,1.0,96.4,-3.7,-0.3,0.0000,0.8,155.4,0,0.0044,-0.0237,-0.0046,0.1457
108,0,-0.0135,-0.0374,-0.0227,0.1948,1.6,-1.1,100.7,-1.2,-0.2,0.0000,6.5,112.5,0,-0.0110,-0.0490,-0.0270,0.1202
108,0,0.0000,0.0007,-0.0003,0.1950,1.6,-1.1,101.0,-1.2,-0.2,0.0000,6.2,111.8,0,0.0019,-0.0119,-0.0046,0.1208
109,0,-0.0170,0.0123,-0.0568,0.1935,1.7,-0.8,97.9,-2.1,-0.2,0.0000,4.7,98.6,0,-0.0228,0.0013,-0.0606,0.1254
109,0,0.0007,0.0002,-0.0005,0.1936,1.7,-0.8,98.2,-2.1,-0.2,0.0000,4.4,92.3,0,-0.0049,-0.0096,-0.0043,0.1246
110,0,-0.0168,0.0607,-0.1047,0.2597,3.2,1.1,95.9,-2.9,-0.2,0.0000,0.8,-42.4,0,-0.0202,0.0540,-0.1107,0.1389
110,0,0.0011,-0.0003,-0.0007,0.2595,3.2,1.0,95.9,-2.9,-0.2,0.0000,1.1,-42.3,0,-0.0038,-0.0056,-0.0069,0.1376
111,0,-0.0186,0.1202,-0.1658,0.2640,3.1,0.8,99.3,-3.6,-0.3,0.0000,2.0,83.8,0,-0.0181,0.1046,-0.1723,0.1371
111,0,-0.0020,-0.0034,0.0020,0.2626,3.2,0.9,98.3,-3.7,-0.3,0.0000,0.6,108.2,0,-0.0026,-0.0153,-0.0048,0.1368
112,0,-0.0098,-0.0410,-0.0228,0.1954,1.7,-0.9,99.4,-1.2,-0.2,0.0000,4.7,100.0,0,-0.0121,-0.0519,-0.0269,0.1248
112,0,0.0005,0.0020,-0.0006,0.1957,1.7,-1.0,99.7,-1.2,-0.2,0.0000,5.3,98.8,0,-0.0011,-0.0083,-0.0049,0.1238
113,0,-0.0118,0.0118,-0.0569,0.1953,1.7,-0.9,99.0,-2.1,-0.2,0.0000,6.1,91.2,0,-0.0128,0.0006,-0.0610,0.1211
113,0,0.0011,0.0003,-0.0006,0.1956,1.7,-0.9,99.3,-2.1,-0.2,0.0000,5.9,87.8,0,0.0004,-0.0100,-0.0049,0.1212
114,0,-0.0150,0.0583,-0.1063,0.2606,3.3,1.1,95.9,-2.9,-0.2,0.0000,1.8,-70.7,0,-0.0137,0.0612,-0.1130,0.1431
114,0,-0.0006,-0.0015,0.0009,0.2603,3.3,1.1,95.7,-2.9,-0.2,0.0000,1.9,-83.1,0,-0.0004,0.0027,-0.0060,0.1414
115,0,-0.0185,0.1154,-0.1649,0.2613,3.3,1.1,95.8,-3.6,-0.2,0.0000,0.9,136.5,0,-0.0141,0.1050,-0.1718,0.1406
115,0,0.0002,-0.0015,0.0011,0.2629,3.2,0.9,98.0,-3.7,-0.2,0.0000,0.8,160.9,0,0.0058,-0.0086,-0.0059,0.1400
116,0,-0.0046,-0.0416,-0.0209,0.1943,1.6,-1.0,99.5,-1.2,-0.2,0.0000,4.5,97.5,0,-0.0065,-0.0498,-0.0252,0.1209
116,0,0.0002,0.0006,-0.0002,0.1948,1.6,-1.0,100.2,-1.2,-0.2,0.0000,4.5,91.0,0,-0.0015,-0.0076,-0.0046,0.1209
117,0,-0.0091,0.0063,-0.0530,0.1950,1.7,-0.9,99.2,-2.1,-0.2,0.0000,4.9,113.5,0,-0.0076,-0.0063,-0.0568,0.1249
117,0,0.0012,-0.0006,-0.0006,0.1952,1.7,-1.0,99.6,-2.1,-0.2,0.0000,4.0,109.8,0,0.0020,-0.0111,-0.0044,0.1244
118,0,-0.0100,0.0554,-0.1002,0.2615,3.2,0.9,97.8,-2.9,-0.2,0.0000,0.6,8.7,0,-0.0140,0.0522,-0.1068,0.1363
118,0,0.0019,-0.0008,-0.0012,0.2618,3.2,0.9,98.3,-2.9,-0.2,0.0000,0.8,-12.9,0,-0.0026,-0.0025,-0.0077,0.1360
119,0,-0.0133,0.1143,-0.1607,0.2617,3.2,1.0,97.1,-3.6,-0.2,0.0000,2.3,89.1,0,-0.0140,0.0946,-0.1677,0.1369
119,0,0.0034,0.0000,-0.0028,0.2610,3.2,1.0,96.9,-3.8,-0.2,0.0000,1.5,92.0,0,0.0033,-0.0167,-0.0099,0.1372
120,0,-0.0016,-0.0439,-0.0211,0.1948,1.6,-1.1,100.4,-1.2,-0.2,0.0000,5.6,100.2,0,-0.0011,-0.0546,-0.0252,0.1215
120,0,-0.0022,0.0022,0.0009,0.1951,1.6,-1.1,100.7,-1.2,-0.2,0.0000,6.8,100.0,0,-0.0007,-0.0102,-0.0033,0.1219
121,0,-0.0068,0.0054,-0.0531,0.1930,1.7,-0.6,95.9,-2.1,-0.2,0.0000,6.8,98.1,0,-0.0102,-0.0126,-0.0567,0.1267
121,0,0.0004,0.0015,-0.0009,0.1934,1.7,-0.7,97.1,-2.1,-0.2,0.0000,7.6,100.1,0,-0.0020,-0.0170,-0.0043,0.1261
122,0,-0.0093,0.0544,-0.1017,0.2594,3.2,1.0,96.3,-2.9,-0.2,0.0000,1.7,134.5,0,-0.0058,0.0439,-0.1078,0.1343
122,0,-0.0001,-0.0022,0.0008,0.2609,3.1,0.9,98.2,-2.9,-0.2,0.0000,1.0,143.5,0,0.0037,-0.0106,-0.0051,0.1345
123,0,-0.0106,0.1116,-0.1627,0.2632,3.1,0.8,99.1,-3.6,-0.2,0.0000,1.7,107.6,0,-0.0061,0.0962,-0.1697,0.1348
123,0,0.0008,-0.0031,0.0018,0.2622,3.1,0.8,98.7,-3.8,-0.3,0.0000,1.3,127.8,0,0.0050,-0.0157,-0.0051,0.1340
124,0,0.0019,-0.0479,-0.0182,0.1920,1.7,-0.8,97.2,-1.2,-0.2,0.0000,5.8,88.2,0,0.0023,-0.0598,-0.0222,0.1215
124,0,0.0030,0.0020,0.0001,0.1927,1.6,-0.9,98.1,-1.2,-0.2,0.0000,6.7,82.1,0,0.0017,-0.0115,-0.0039,0.1207
125,0,-0.0032,-0.0001,-0.0508,0.1941,1.6,-1.1,100.2,-2.2,-0.2,0.0000,5.4,115.9,0,0.0072,-0.0205,-0.0539,0.1303
125,0,-0.0024,0.0000,-0.0005,0.1940,1.6,-1.0,99.6,-2.1,-0.2,0.0000,5.4,118.7,0,0.0091,-0.0176,-0.0037,0.1303
126,0,-0.0011,0.0513,-0.1006,0.2595,3.1,0.9,97.6,-2.9,-0.2,0.0000,1.9,65.0,0,-0.0026,0.0369,-0.1062,0.1380
126,0,-0.0004,-0.0011,0.0001,0.2589,3.1,0.9,97.4,-3.0,-0.2,0.0000,1.8,51.8,0,-0.0024,-0.0143,-0.0055,0.1383
127,0,-0.0036,0.1052,-0.1615,0.2624,3.1,0.8,98.7,-3.7,-0.2,0.0000,1.4,83.2,0,-0.0019,0.0892,-0.1687,0.1338
127,0,-0.0022,-0.0004,-0.0007,0.2621,3.1,0.8,98.9,-3.8,-0.2,0.0000,0.7,67.6,0,-0.0002,-0.0133,-0.0078,0.1337
128,0,0.0042,-0.0510,-0.0144,0.1937,1.6,-1.0,99.7,-1.3,0.0,0.0000,5.2,101.5,0,0.0027,-0.0628,-0.0184,0.1234
