gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
100,0,-0.0016,-0.0011,0.0000,0.1930,1.6,-1.1,100.1,-1.8,-0.8,0.0000,3.1,120.1,0,-0.0020,-0.0080,-0.0010,0.1221
101,0,0.0023,0.0006,-0.0015,0.1934,1.6,-1.1,100.2,-2.0,-0.2,0.0000,5.0,104.3,0,0.0006,-0.0107,-0.0049,0.1230
102,0,0.0009,-0.0007,-0.0013,0.2600,3.2,0.9,97.4,-2.9,-0.2,0.0000,0.4,-79.8,0,0.0017,-0.0043,-0.0078,0.1371
103,0,0.0001,-0.0007,0.0002,0.2622,3.1,0.8,99.1,-3.6,-0.2,0.0000,1.0,118.4,0,0.0258,0.1843,-0.0208,0.0635
104,0,0.0009,0.0004,0.0006,0.1941,1.7,-0.9,98.5,-1.1,-0.3,0.0000,5.1,95.6,0,-0.0028,-0.0181,-0.0035,0.1283
105,0,0.0009,0.0010,-0.0011,0.1947,1.7,-0.9,98.8,-2.1,-0.3,0.0000,4.7,102.3,0,-0.0023,-0.0085,-0.0050,0.1238
106,0,0.0000,-0.0002,-0.0004,0.2605,3.2,1.0,96.6,-2.9,-0.3,0.0000,2.2,-61.4,0,-0.0046,-0.0017,-0.0070,0.1411
107,0,0.0001,-0.0033,0.0015,0.2611,3.2,1.0,96.4,-3.7,-0.3,0.0000,0.8,155.4,0,0.0044,-0.0237,-0.0046,0.1457
108,0,0.0000,0.0007,-0.0003,0.1950,1.6,-1.1,101.0,-1.2,-0.2,0.0000,6.2,111.8,0,0.0019,-0.0119,-0.0046,0.1208
109,0,0.0007,0.0002,-0.0005,0.1936,1.7,-0.8,98.2,-2.1,-0.2,0.0000,4.4,92.3,0,-0.0049,-0.0096,-0.0043,0.1246
110,0,0.0011,-0.0003,-0.0007,0.2595,3.2,1.0,95.9,-2.9,-0.2,0.0000,1.1,-42.3,0,-0.0038,-0.0056,-0.0069,0.1376
111,0,-0.0020,-0.0034,0.0020,0.2626,3.2,0.9,98.3,-3.7,-0.3,0.0000,0.6,108.2,0,-0.0026,-0.0153,-0.0048,0.1368
112,0,0.0005,0.0020,-0.0006,0.1957,1.7,-1.0,99.7,-1.2,-0.2,0.0000,5.3,98.8,0,-0.0011,-0.0083,-0.0049,0.1238
113,0,0.0011,0.0003,-0.0006,0.1956,1.7,-0.9,99.3,-2.1,-0.2,0.0000,5.9,87.8,0,0.0004,-0.0100,-0.0049,0.1212
114,0,-0.0006,-0.0015,0.0009,0.2603,3.3,1.1,95.7,-2.9,-0.2,0.0000,1.9,-83.1,0,-0.0004,0.0027,-0.0060,0.1414
115,0,0.0002,-0.0015,0.0011,0.2629,3.2,0.9,98.0,-3.7,-0.2,0.0000,0.8,160.9,0,0.0058,-0.0086,-0.0059,0.1400
116,0,0.0002,0.0006,-0.0002,0.1948,1.6,-1.0,100.2,-1.2,-0.2,0.0000,4.5,91.0,0,-0.0015,-0.0076,-0.0046,0.1209
117,0,0.0012,-0.0006,-0.0006,0.1952,1.7,-1.0,99.6,-2.1,-0.2,0.0000,4.0,109.8,0,0.0020,-0.0111,-0.0044,0.1244
118,0,0.0019,-0.0008,-0.0012,0.2618,3.2,0.9,98.3,-2.9,-0.2,0.0000,0.8,-12.9,0,-0.0026,-0.0025,-0.0077,0.1360
119,0,0.0034,0.0000,-0.0028,0.2610,3.2,1.0,96.9,-3.8,-0.2,0.0000,1.5,92.0,0,0.0033,-0.0167,-0.0099,0.1372
120,0,-0.0022,0.0022,0.0009,0.1951,1.6,-1.1,100.7,-1.2,-0.2,0.0000,6.8,100.0,0,-0.0007,-0.0102,-0.0033,0.1219
121,0,0.0004,0.0015,-0.0009,0.1934,1.7,-0.7,97.1,-2.1,-0.2,0.0000,7.6,100.1,0,-0.0020,-0.0170,-0.0043,0.1261
122,0,-0.0001,-0.0022,0.0008,0.2609,3.1,0.9,98.2,-2.9,-0.2,0.0000,1.0,143.5,0,0.0037,-0.0106,-0.0051,0.1345
123,0,0.0008,-0.0031,0.0018,0.2622,3.1,0.8,98.7,-3.8,-0.3,0.0000,1.3,127.8,0,0.0050,-0.0157,-0.0051,0.1340
124,0,0.0030,0.0020,0.0001,0.1927,1.6,-0.9,98.1,-1.2,-0.2,0.0000,6.7,82.1,0,0.0017,-0.0115,-0.0039,0.1207
125,0,-0.0024,0.0000,-0.0005,0.1940,1.6,-1.0,99.6,-2.1,-0.2,0.0000,5.4,118.7,0,0.0091,-0.0176,-0.0037,0.1303
