gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_x,gh_radius
,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in
100,0,-0.0206,-0.0359,-0.0228,0.1927,1.6,-1.1,99.9,-1.7,-0.6,0.0000,3.2,109.3,0,-0.0217,-0.0418,-0.0244,0.1220
101,0,-0.0228,0.0185,-0.0582,0.1934,1.6,-1.0,100.0,-2.0,-0.2,0.0000,4.9,107.0,0,-0.0235,0.0068,-0.0616,0.1221
102,0,-0.0239,0.0676,-0.1054,0.2605,3.2,0.9,97.6,-2.9,-0.2,0.0000,0.4,-31.6,0,-0.0239,0.0630,-0.1120,0.1375
103,0,-0.0274,0.1265,-0.1641,0.2639,3.1,0.7,100.1,-3.5,-0.2,0.0000,1.5,93.5,0,-0.0247,0.1117,-0.1714,0.1357
104,0,-0.0166,-0.0346,-0.0225,0.1941,1.7,-0.9,98.7,-1.2,-0.2,0.0000,5.8,98.7,0,-0.0209,-0.0559,-0.0265,0.1287
105,0,-0.0216,0.0141,-0.0568,0.1948,1.7,-0.9,98.8,-2.1,-0.3,0.0000,4.4,103.5,0,-0.0239,0.0046,-0.0607,0.1233
106,0,-0.0187,0.0624,-0.1059,0.2607,3.2,1.0,96.3,-2.8,-0.3,0.0000,2.4,-56.8,0,-0.0226,0.0586,-0.1125,0.1426
107,0,-0.0248,0.1223,-0.1647,0.2625,3.2,1.0,97.5,-3.5,-0.3,0.0000,1.7,108.7,0,-0.0199,0.1098,-0.1715,0.1386
108,0,-0.0135,-0.0374,-0.0227,0.1948,1.6,-1.1,100.7,-1.2,-0.2,0.0000,6.5,112.5,0,-0.0110,-0.0490,-0.0270,0.1202
109,0,-0.0170,0.0123,-0.0568,0.1935,1.7,-0.8,97.9,-2.1,-0.2,0.0000,4.7,98.6,0,-0.0228,0.0013,-0.0606,0.1254
110,0,-0.0168,0.0607,-0.1047,0.2597,3.2,1.1,95.9,-2.9,-0.2,0.0000,0.8,-42.4,0,-0.0202,0.0540,-0.1107,0.1389
111,0,-0.0186,0.1202,-0.1658,0.2640,3.1,0.8,99.3,-3.6,-0.3,0.0000,2.0,83.8,0,-0.0181,0.1046,-0.1723,0.1371
112,0,-0.0098,-0.0410,-0.0228,0.1954,1.7,-0.9,99.4,-1.2,-0.2,0.0000,4.7,100.0,0,-0.0121,-0.0519,-0.0269,0.1248
113,0,-0.0118,0.0118,-0.0569,0.1953,1.7,-0.9,99.0,-2.1,-0.2,0.0000,6.1,91.2,0,-0.0128,0.0006,-0.0610,0.1211
114,0,-0.0150,0.0583,-0.1063,0.2606,3.3,1.1,95.9,-2.9,-0.2,0.0000,1.8,-70.7,0,-0.0137,0.0612,-0.1130,0.1431
115,0,-0.0185,0.1154,-0.1649,0.2613,3.3,1.1,95.8,-3.6,-0.2,0.0000,0.9,136.5,0,-0.0141,0.1050,-0.1718,0.1406
116,0,-0.0046,-0.0416,-0.0209,0.1943,1.6,-1.0,99.5,-1.2,-0.2,0.0000,4.5,97.5,0,-0.0065,-0.0498,-0.0252,0.1209
117,0,-0.0091,0.0063,-0.0530,0.1950,1.7,-0.9,99.2,-2.1,-0.2,0.0000,4.9,113.5,0,-0.0076,-0.0063,-0.0568,0.1249
118,0,-0.0100,0.0554,-0.1002,0.2615,3.2,0.9,97.8,-2.9,-0.2,0.0000,0.6,8.7,0,-0.0140,0.0522,-0.1068,0.1363
119,0,-0.0133,0.1143,-0.1607,0.2617,3.2,1.0,97.1,-3.6,-0.2,0.0000,2.3,89.1,0,-0.0140,0.0946,-0.1677,0.1369
120,0,-0.0016,-0.0439,-0.0211,0.1948,1.6,-1.1,100.4,-1.2,-0.2,0.0000,5.6,100.2,0,-0.0011,-0.0546,-0.0252,0.1215
121,0,-0.0068,0.0054,-0.0531,0.1930,1.7,-0.6,95.9,-2.1,-0.2,0.0000,6.8,98.1,0,-0.0102,-0.0126,-0.0567,0.1267
122,0,-0.0093,0.0544,-0.1017,0.2594,3.2,1.0,96.3,-2.9,-0.2,0.0000,1.7,134.5,0,-0.0058,0.0439,-0.1078,0.1343
123,0,-0.0106,0.1116,-0.1627,0.2632,3.1,0.8,99.1,-3.6,-0.2,0.0000,1.7,107.6,0,-0.0061,0.0962,-0.1697,0.1348
124,0,0.0019,-0.0479,-0.0182,0.1920,1.7,-0.8,97.2,-1.2,-0.2,0.0000,5.8,88.2,0,0.0023,-0.0598,-0.0222,0.1215
125,0,-0.0032,-0.0001,-0.0508,0.1941,1.6,-1.1,100.2,-2.2,-0.2,0.0000,5.4,115.9,0,0.0072,-0.0205,-0.0539,0.1303
126,0,-0.0011,0.0513,-0.1006,0.2595,3.1,0.9,97.6,-2.9,-0.2,0.0000,1.9,65.0,0,-0.0026,0.0369,-0.1062,0.1380
127,0,-0.0036,0.1052,-0.1615,0.2624,3.1,0.8,98.7,-3.7,-0.2,0.0000,1.4,83.2,0,-0.0019,0.0892,-0.1687,0.1338
128,0,0.0042,-0.0510,-0.0144,0.1937,1.6,-1.0,99.7,-1.3,0.0,0.0000,5.2,101.5,0,0.0027,-0.0628,-0.0184,0.1234
129,0,0.0002,-0.0002,-0.0479,0.1938,1.6,-1.0,99.8,-2.2,0.0,0.0000,7.1,110.5,0,0.0019,-0.0131,-0.0517,0.1199
130,0,-0.0037,0.0460,-0.0963,0.2629,3.1,0.7,99.7,-3.0,0.0,0.0000,1.2,139.4,0,0.0020,0.0377,-0.1032,0.1358
131,0,-0.0018,0.1043,-0.1591,0.2630,3.1,0.8,99.0,-3.7,0.0,0.0000,2.0,100.3,0,0.0028,0.0865,-0.1664,0.1342
132,0,0.0088,-0.0519,-0.0114,0.1931,1.6,-1.0,99.6,-1.2,-0.1,0.0000,6.4,102.1,0,0.0098,-0.0610,-0.0155,0.1201
133,0,0.0052,-0.0025,-0.0459,0.1950,1.6,-1.1,100.7,-2.1,-0.1,0.0000,6.1,107.2,0,0.0082,-0.0147,-0.0499,0.1192
134,0,0.0051,0.0424,-0.0920,0.2592,3.2,1.0,96.3,-2.9,-0.1,0.0000,1.4,9.5,0,0.0040,0.0362,-0.0983,0.1408
135,0,0.0041,0.1017,-0.1555,0.2631,3.2,0.8,98.8,-3.7,0.0,0.0000,2.0,83.7,0,0.0037,0.0832,-0.1628,0.1328
200,0,-0.0164,0.1393,-0.0055,0.3108,4.4,2.4,95.8,0.3,-0.2,0.0000,1.5,99.1,0,-0.0144,0.1343,-0.0170,0.1663
201,0,-0.0113,0.0298,-0.0361,0.3059,4.5,2.5,92.9,2.0,-0.3,0.0000,1.6,-118.1,0,0.0706,-0.1650,-0.0537,0.0736
202,0,-0.0129,0.1319,-0.0013,0.3074,4.6,2.6,92.7,0.3,-0.2,0.0000,1.5,123.0,0,-0.1233,-0.0946,-0.0125,0.0656
203,0,-0.0026,0.0272,-0.0376,0.3028,4.7,2.7,89.6,2.0,-0.2,0.0000,1.5,-102.6,0,-0.0004,0.0357,-0.0461,0.1676
204,0,-0.0022,0.1267,-0.0014,0.3106,4.4,2.3,95.9,0.3,-0.2,0.0000,0.4,143.9,0,0.1218,-0.0868,-0.0122,0.0701
205,0,0.0013,0.0248,-0.0354,0.3099,4.3,2.2,96.9,2.0,-0.2,0.0000,2.2,-179.0,0,0.2203,0.0355,-0.0462,0.0580
206,0,0.0052,0.1244,0.0050,0.3072,4.5,2.5,93.3,0.3,0.0,0.0000,1.1,106.4,0,-0.1162,-0.0972,-0.0067,0.0580
207,0,0.0125,0.0218,-0.0313,0.3030,4.6,2.6,91.1,2.0,0.0,0.0000,1.1,-81.5,0,0.1107,-0.1697,-0.0477,0.0861
300,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0057,-0.0338,-0.1083,0.1233
301,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0070,-0.0353,-0.1029,0.1244
302,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0069,-0.0372,-0.1059,0.1236
303,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0020,-0.0375,-0.1039,0.1261
304,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0024,-0.0407,-0.1049,0.1239
305,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0050,-0.0398,-0.1053,0.1258
306,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0071,-0.0410,-0.1037,0.1258
307,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0119,-0.0452,-0.0987,0.1238
308,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0149,-0.0407,-0.0969,0.1233
