timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-24 11:26:53,300_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0549,0.0439,0.0376,0.1228,-0.4,-0.5,0.0384,0.0050
2022-06-24 11:26:57,300_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0002,-0.0028,0.0018,0.1243,-0.2,0.0,0.0018,0.0050
2022-06-24 11:27:01,300_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0005,0.0000,-0.0001,0.1241,0.1,0.0,0.0000,0.0061
2022-06-24 11:27:05,300_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,-0.0002,0.0000,0.1243,0.1,0.0,0.0000,0.0054
2022-06-24 11:27:09,301_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0558,0.0459,0.0327,0.1235,-0.4,-0.6,0.0333,0.0087
2022-06-24 11:27:13,301_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0002,-0.0003,-0.0023,0.1239,0.0,0.0,-0.0026,0.0087
2022-06-24 11:27:18,301_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0005,0.0003,0.0000,0.1239,0.0,0.0,-0.0003,0.0083
2022-06-24 11:27:21,301_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,0.0003,0.0000,0.1239,0.0,0.0,-0.0003,0.0083
2022-06-24 11:27:26,302_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0546,0.0487,0.0243,0.1237,-0.4,-0.6,0.0251,0.0062
2022-06-24 11:27:30,302_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0007,-0.0009,0.0006,0.1239,0.0,0.0,0.0006,0.0079
2022-06-24 11:27:34,302_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0007,0.0003,0.0003,0.1235,0.0,0.0,0.0002,0.0084
2022-06-24 11:27:38,302_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0004,-0.0004,-0.0003,0.1237,0.0,0.0,-0.0004,0.0081
2022-06-24 11:27:43,303_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0611,0.0499,0.0189,0.1262,-0.4,-0.5,0.0196,0.0089
2022-06-24 11:27:47,303_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0009,-0.0010,0.0023,0.1265,0.0,0.0,0.0020,0.0134
2022-06-24 11:27:51,303_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0003,0.0002,0.0000,0.1266,0.0,0.0,-0.0003,0.0127
2022-06-24 11:27:54,303_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0006,0.0010,0.0002,0.1263,0.0,0.0,-0.0002,0.0126
2022-06-24 11:27:59,304_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0609,0.0492,0.0170,0.1239,-0.3,-0.5,0.0178,0.0052
2022-06-24 11:28:03,304_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0003,0.0014,0.0001,0.1240,0.0,0.0,0.0001,0.0059
2022-06-24 11:28:08,304_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0003,0.0003,0.0000,0.1239,0.0,0.0,0.0000,0.0051
2022-06-24 11:28:11,304_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0000,0.0000,-0.0002,0.1237,0.0,0.0,-0.0002,0.0065
2022-06-24 11:28:16,305_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0614,0.0533,0.0129,0.1259,-0.3,-0.5,0.0138,0.0089
2022-06-24 11:28:20,305_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0017,0.0015,-0.0032,0.1259,0.0,0.0,-0.0031,0.0091
2022-06-24 11:28:24,305_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0006,0.0000,0.0002,0.1259,0.0,0.0,0.0002,0.0115
2022-06-24 11:28:28,305_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0002,-0.0007,0.0004,0.1261,0.0,0.0,0.0003,0.0116
2022-06-24 11:28:32,306_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0657,0.0533,0.0061,0.1260,-0.3,-0.5,0.0069,0.0080
2022-06-24 11:28:36,306_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0001,-0.0011,0.0020,0.1259,0.0,0.0,0.0019,0.0080
2022-06-24 11:28:41,306_adjust_1-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0001,0.0004,-0.0008,0.1258,0.0,0.0,-0.0009,0.0071
2022-06-24 11:28:44,306_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0002,0.0001,0.0004,0.1258,0.0,0.0,0.0003,0.0075
2022-06-24 11:28:49,307_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0707,0.0543,0.0032,0.1241,-0.3,-0.3,0.0037,0.0098
2022-06-24 11:28:53,307_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0000,0.0007,0.0014,0.1243,0.0,0.0,0.0012,0.0102
