time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-11T11:29:25.366000,100_initial,0,0.0392,-0.0334,-0.0378,0.2011,0.0599,-0.0719,108.42,-1.27,-0.94,0.0000,8.87,-153.85,0,0.0481,-0.0281,-0.0385,0.1217,-1.23,-0.97,-0.0393,0.0291
2022-11-11T11:29:30.472000,100_adjust_3-1,0,-0.0076,-0.0059,0.0006,0.2047,0.0586,-0.0863,111.85,-0.26,-0.32,0.0000,12.53,-145.39,0,0.0079,0.0063,0.0010,0.1216,-0.25,-0.31,0.0002,0.0325
2022-11-11T11:29:35.620000,100_adjust_1-2,0,-0.0007,-0.0003,-0.0004,0.2051,0.0588,-0.0860,111.86,-0.12,-0.10,0.0000,13.15,-144.17,0,0.0173,0.0151,0.0000,0.1221,-0.11,-0.09,-0.0009,0.0339
2022-11-11T11:29:39.382000,100_adjust_1,0,-0.0011,0.0004,-0.0003,0.2061,0.0584,-0.0903,112.81,-0.12,-0.10,0.0000,13.38,-147.21,0,0.0181,0.0154,0.0001,0.1220,-0.11,-0.09,-0.0007,0.0340
2022-11-11T11:29:45.015000,101_initial,0,0.0424,0.0371,-0.0425,0.1931,0.0625,-0.0429,100.34,-0.09,-0.07,0.0000,5.47,100.31,0,0.0410,0.0284,-0.0465,0.1204,-0.12,-0.10,-0.0472,0.0131
2022-11-11T11:29:50.155000,101_adjust_3-1,0,0.0001,-0.0014,-0.0001,0.1929,0.0626,-0.0424,100.16,0.01,0.01,0.0000,4.72,96.54,0,-0.0017,-0.0083,-0.0042,0.1209,0.01,0.01,-0.0050,0.0122
2022-11-11T11:29:55.366000,101_adjust_1-2,0,0.0001,-0.0001,-0.0000,0.1927,0.0626,-0.0418,99.98,-0.02,-0.00,0.0000,4.57,100.26,0,-0.0022,-0.0067,-0.0041,0.1207,-0.02,0.00,-0.0048,0.0119
2022-11-11T11:29:59.329000,101_adjust_1,0,0.0002,0.0005,-0.0001,0.1928,0.0625,-0.0424,100.15,-0.00,0.00,0.0000,4.84,97.75,0,-0.0024,-0.0069,-0.0042,0.1211,-0.00,0.00,-0.0049,0.0117
2022-11-11T11:30:05.074000,102_initial,0,0.0417,0.0896,-0.0463,0.2612,0.1222,0.0307,99.00,0.03,-0.09,0.0000,0.83,29.80,0,0.0424,0.0902,-0.0536,0.1363,-0.22,-0.19,-0.0549,0.0201
2022-11-11T11:30:10.217000,102_adjust_3-1,0,-0.0004,-0.0008,0.0018,0.2611,0.1216,0.0296,99.24,0.05,-0.01,0.0000,0.58,2.40,0,0.0005,0.0025,-0.0054,0.1358,0.04,0.00,-0.0070,0.0196
2022-11-11T11:30:15.726000,102_adjust_1-2,0,0.0001,0.0001,0.0000,0.2612,0.1215,0.0293,99.34,0.00,0.00,0.0000,0.68,3.31,0,0.0003,0.0041,-0.0072,0.1355,-0.01,0.01,-0.0088,0.0193
2022-11-11T11:30:19.990000,102_adjust_1,0,-0.0002,0.0000,-0.0002,0.2611,0.1217,0.0299,99.17,0.00,0.00,0.0000,0.53,-5.74,0,-0.0003,0.0036,-0.0074,0.1351,-0.01,0.01,-0.0091,0.0195
2022-11-11T11:30:25.747000,103_initial,0,0.0400,0.1488,-0.0437,0.2633,0.1207,0.0267,100.48,0.26,-0.13,0.0000,1.80,94.64,0,0.0408,0.1391,-0.0526,0.1332,-0.16,-0.23,-0.0537,0.0196
2022-11-11T11:30:31.172000,103_adjust_3-1,0,0.0010,-0.0030,0.0009,0.2628,0.1207,0.0269,100.29,-0.01,0.00,0.0000,0.90,96.44,0,0.0019,-0.0083,-0.0076,0.1335,-0.01,0.01,-0.0090,0.0195
2022-11-11T11:30:36.525000,103_adjust_1-2,0,0.0001,0.0001,-0.0001,0.2628,0.1205,0.0264,100.44,0.01,0.00,0.0000,0.95,98.49,0,0.0011,-0.0059,-0.0087,0.1331,-0.00,0.01,-0.0101,0.0198
2022-11-11T11:30:40.738000,103_adjust_1,0,-0.0001,0.0000,-0.0000,0.2628,0.1204,0.0262,100.49,0.01,0.00,0.0000,0.85,97.62,0,0.0009,-0.0054,-0.0086,0.1329,-0.00,0.01,-0.0100,0.0194
2022-11-11T11:30:47.284000,104_initial,0,0.0514,-0.0203,-0.0354,0.1946,0.0635,-0.0424,100.58,-0.14,-0.11,0.0000,6.16,91.30,0,0.0460,-0.0321,-0.0401,0.1234,-0.13,-0.15,-0.0410,0.0147
2022-11-11T11:30:52.789000,104_adjust_3-1,0,-0.0001,-0.0000,0.0003,0.1939,0.0640,-0.0391,99.61,0.00,0.01,0.0000,5.43,83.48,0,-0.0063,-0.0128,-0.0043,0.1248,-0.00,0.01,-0.0053,0.0152
2022-11-11T11:30:58.163000,104_adjust_1-2,0,-0.0001,0.0005,-0.0004,0.1941,0.0639,-0.0399,99.85,0.00,-0.00,0.0000,5.57,86.49,0,-0.0053,-0.0114,-0.0050,0.1240,-0.01,0.00,-0.0059,0.0144
2022-11-11T11:31:02.428000,104_adjust_1,0,0.0003,-0.0004,0.0004,0.1939,0.0641,-0.0387,99.51,-0.01,-0.00,0.0000,5.51,82.05,0,-0.0059,-0.0125,-0.0042,0.1243,-0.01,0.00,-0.0052,0.0143
2022-11-11T11:31:08.363000,105_initial,0,0.0457,0.0363,-0.0418,0.1952,0.0644,-0.0406,100.30,-0.09,-0.14,0.0000,5.92,95.06,0,0.0437,0.0292,-0.0462,0.1215,-0.12,-0.17,-0.0467,0.0098
2022-11-11T11:31:13.897000,105_adjust_3-1,0,-0.0008,-0.0006,0.0012,0.1947,0.0646,-0.0387,99.72,0.00,0.01,0.0000,5.07,96.63,0,-0.0027,-0.0048,-0.0033,0.1213,0.01,0.01,-0.0039,0.0093
2022-11-11T11:31:19.505000,105_adjust_1-2,0,0.0005,0.0002,-0.0001,0.1950,0.0645,-0.0397,100.03,0.00,-0.00,0.0000,5.20,94.39,0,-0.0022,-0.0049,-0.0046,0.1217,0.01,-0.00,-0.0053,0.0090
2022-11-11T11:31:23.924000,105_adjust_1,0,0.0002,-0.0006,-0.0002,0.1945,0.0650,-0.0369,99.22,0.00,-0.00,0.0000,4.32,94.14,0,-0.0021,-0.0044,-0.0048,0.1214,0.00,-0.00,-0.0054,0.0091
2022-11-11T11:31:29.683000,106_initial,0,0.0433,0.0851,-0.0438,0.2634,0.1236,0.0319,99.24,0.01,-0.17,0.0000,0.58,-30.19,0,0.0379,0.0867,-0.0515,0.1392,-0.23,-0.29,-0.0527,0.0194
2022-11-11T11:31:35.303000,106_adjust_3-1,0,0.0007,-0.0013,0.0012,0.2632,0.1233,0.0315,99.28,0.04,0.01,0.0000,0.89,-60.37,0,-0.0042,0.0043,-0.0063,0.1393,0.03,0.00,-0.0079,0.0196
