timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-24 11:33:38,300_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1438,0.1876,0.0204,0.1235,4.5,0.4,0.0046,0.0065
2022-06-24 11:33:42,300_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0037,-0.0060,0.0032,0.1239,-0.1,0.1,0.0033,0.0048
2022-06-24 11:33:47,300_adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0005,0.0010,0.0010,0.1239,0.1,0.0,0.0010,0.0057
2022-06-24 11:33:50,300_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0007,-0.0006,-0.0011,0.1244,0.0,0.0,-0.0011,0.0064
2022-06-24 11:33:57,301_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1831,0.2397,0.0234,0.1219,-0.8,-2.9,0.0348,0.0111
2022-06-24 11:34:01,301_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0101,-0.0024,0.0011,0.1240,0.1,0.1,0.0007,0.0091
2022-06-24 11:34:06,301_adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0000,0.0001,-0.0011,0.1239,0.0,0.0,-0.0014,0.0098
2022-06-24 11:34:09,301_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0003,0.0002,0.0007,0.1241,0.0,0.0,0.0004,0.0083
2022-06-24 11:34:16,302_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.1710,0.1266,0.1982,0.1235,-1.7,1.2,0.2056,0.0092
2022-06-24 11:34:20,302_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0022,0.0031,-0.0065,0.1235,0.0,0.0,-0.0066,0.0089
2022-06-24 11:34:25,302_adjust_3-2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0010,-0.0011,0.0007,0.1235,0.0,0.0,0.0006,0.0069
2022-06-24 11:34:28,302_adjust_1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0002,-0.0002,0.0008,0.1237,0.0,0.0,0.0007,0.0096
2022-06-24 11:34:34,303_initial,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.1215,0.1215,-0.0263,0.1263,-0.5,0.1,-0.0259,0.0086
2022-06-24 11:34:39,303_adjust_3-1,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0020,-0.0019,0.0019,0.1264,0.0,0.0,0.0017,0.0130
