time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-12T05:28:20.780000,100_initial,0,-0.0943,0.0933,-0.1921,0.2009,0.0602,-0.0701,108.03,-2.22,0.83,0.0000,8.20,-161.65,0,-0.0810,0.0927,-0.1909,0.1220,-2.39,1.01,-0.1878,0.0401
2022-11-12T05:28:25.296000,100_adjust_3-1,0,-0.0034,-0.0029,-0.0041,0.2025,0.0594,-0.0773,109.75,-0.17,0.19,0.0000,10.92,-150.32,0,0.0111,0.0070,-0.0039,0.1217,-0.15,0.21,-0.0048,0.0328
2022-11-12T05:28:29.445000,100_adjust_1-2,0,-0.0018,-0.0021,-0.0002,0.2038,0.0589,-0.0823,110.95,-0.03,-0.03,0.0000,12.19,-148.91,0,0.0139,0.0094,0.0001,0.1216,-0.02,-0.01,-0.0008,0.0330
2022-11-12T05:28:32.600000,100_adjust_1,0,0.0001,-0.0011,0.0003,0.2041,0.0589,-0.0833,111.19,-0.07,-0.05,0.0000,12.14,-146.01,0,0.0158,0.0106,0.0006,0.1221,-0.06,-0.04,-0.0004,0.0334
2022-11-12T05:28:39.477000,101_initial,0,-0.1282,-0.1342,-0.1662,0.1931,0.0626,-0.0426,100.28,-2.28,4.38,0.0000,3.89,110.79,0,-0.1248,-0.1423,-0.1696,0.1210,-2.10,4.65,-0.1679,0.0289
2022-11-12T05:28:44.092000,101_adjust_3-1,0,-0.0033,0.0017,-0.0029,0.1929,0.0625,-0.0428,100.25,-0.08,-0.03,0.0000,4.76,98.50,0,-0.0053,-0.0062,-0.0070,0.1206,-0.08,-0.03,-0.0078,0.0121
2022-11-12T05:28:48.255000,101_adjust_1-2,0,0.0007,0.0009,-0.0005,0.1928,0.0627,-0.0417,99.97,0.00,0.00,0.0000,4.76,97.64,0,-0.0018,-0.0063,-0.0047,0.1208,0.00,0.00,-0.0054,0.0122
2022-11-12T05:28:51.428000,101_adjust_1,0,-0.0001,-0.0002,0.0001,0.1928,0.0627,-0.0417,99.98,0.01,0.00,0.0000,4.80,95.76,0,-0.0023,-0.0082,-0.0041,0.1209,0.00,0.00,-0.0048,0.0121
2022-11-13T13:46:07.747000,100_initial,0,-0.1952,0.0702,0.0748,0.1929,0.0625,-0.0425,100.18,3.12,2.76,0.0000,4.28,91.15,0,-0.1948,0.0652,0.0710,0.1219,3.07,3.10,0.0750,0.0269
2022-11-13T13:46:12.763000,100_adjust_3-1,0,-0.0115,-0.0164,-0.0020,0.2022,0.0594,-0.0766,109.56,-1.00,-0.90,0.0000,10.44,-147.08,0,0.0008,-0.0081,-0.0018,0.1224,-0.98,-0.88,-0.0028,0.0304
2022-11-13T13:46:17.452000,100_adjust_1-2,0,-0.0059,-0.0033,-0.0003,0.2054,0.0587,-0.0870,112.09,-0.24,-0.19,0.0000,12.80,-146.92,0,0.0107,0.0089,0.0001,0.1221,-0.22,-0.18,-0.0007,0.0332
2022-11-13T13:46:20.846000,100_adjust_1,0,-0.0011,-0.0019,0.0001,0.2060,0.0586,-0.0891,112.59,-0.30,-0.24,0.0000,13.45,-145.14,0,0.0170,0.0122,0.0005,0.1220,-0.28,-0.23,-0.0003,0.0342
