time_stamp,tag_name,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,gc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
2022-11-12T05:29:23.150000,100_initial,0,0.0217,-0.0283,-0.0365,0.2019,0.0595,-0.0753,109.23,-1.29,-1.03,0.0000,9.93,-152.25,0,0.0319,-0.0222,-0.0371,0.1217,-1.26,-1.04,-0.0378,0.0293
2022-11-12T05:29:27.855000,100_adjust_3-1,0,-0.0054,-0.0047,0.0003,0.2042,0.0586,-0.0849,111.50,-0.21,-0.25,0.0000,12.26,-145.07,0,0.0093,0.0073,0.0007,0.1219,-0.20,-0.24,-0.0001,0.0324
2022-11-12T05:29:32.323000,100_adjust_3-2,0,-0.0002,0.0006,-0.0003,0.2043,0.0590,-0.0832,111.19,-0.10,-0.08,0.0000,12.61,-145.03,0,0.0170,0.0146,0.0000,0.1226,-0.09,-0.07,-0.0009,0.0339
2022-11-12T05:29:35.626000,100_adjust_1,0,-0.3891,-0.1902,0.0002,0.1534,-0.0770,0.2437,-49.25,1.30,1.20,0.0000,22.45,-94.47,0,0.0170,0.0133,0.0002,0.1221,-0.07,-0.04,-0.0007,0.0333
2022-11-12T05:29:50.701000,101_initial,0,0.0272,0.0430,-0.0403,0.1931,0.0624,-0.0435,100.48,-0.07,-0.09,0.0000,5.37,97.07,0,0.0256,0.0347,-0.0444,0.1204,-0.11,-0.11,-0.0450,0.0122
2022-11-12T05:29:55.082000,101_adjust_3-1,0,0.0005,-0.0010,-0.0006,0.1930,0.0625,-0.0431,100.36,0.01,0.00,0.0000,4.57,96.94,0,-0.0022,-0.0076,-0.0046,0.1204,0.00,0.00,-0.0054,0.0126
2022-11-12T05:29:59.485000,101_adjust_3-2,0,0.0001,-0.0001,-0.0002,0.1929,0.0626,-0.0423,100.15,-0.02,0.00,0.0000,4.60,97.45,0,-0.0020,-0.0073,-0.0042,0.1209,-0.02,0.00,-0.0049,0.0120
2022-11-12T05:30:02.733000,101_adjust_1,0,0.0000,0.0004,-0.0001,0.1929,0.0626,-0.0424,100.18,0.02,0.00,0.0000,4.91,97.21,0,-0.0026,-0.0067,-0.0043,0.1208,0.02,0.00,-0.0050,0.0115
2022-11-12T05:30:18.494000,102_initial,0,0.0274,0.0958,-0.0439,0.2614,0.1216,0.0294,99.36,0.05,-0.11,0.0000,0.82,41.70,0,0.0275,0.0963,-0.0513,0.1357,-0.22,-0.18,-0.0526,0.0211
2022-11-12T05:30:22.877000,102_adjust_3-1,0,0.0001,-0.0014,0.0012,0.2611,0.1215,0.0295,99.27,0.04,-0.00,0.0000,0.62,-10.38,0,0.0005,0.0021,-0.0060,0.1355,0.04,0.00,-0.0076,0.0193
2022-11-12T05:30:27.249000,102_adjust_3-2,0,-0.0003,0.0003,0.0002,0.2611,0.1215,0.0295,99.27,0.01,0.00,0.0000,0.49,8.42,0,0.0000,0.0036,-0.0071,0.1354,-0.00,0.01,-0.0087,0.0195
2022-11-12T05:30:30.527000,102_adjust_1,0,0.0001,-0.0001,-0.0001,0.2610,0.1214,0.0294,99.29,0.01,0.00,0.0000,0.56,-2.33,0,0.0010,0.0031,-0.0073,0.1354,-0.00,0.01,-0.0089,0.0192
2022-11-12T05:30:46.068000,103_initial,0,0.0262,0.1538,-0.0407,0.2632,0.1206,0.0264,100.55,0.28,-0.15,0.0000,1.83,92.08,0,0.0271,0.1439,-0.0495,0.1333,-0.15,-0.21,-0.0507,0.0195
