skip,ID,X,Y,Z,Type,Notes
skip,,in,in,in,,
skip,100,1,1,0,Small Counterbore,Left Grid
skip,101,1,2,0,Small Counterbore,Left Grid
skip,102,1,3,0,Medium Counterbore,Left Grid
skip,103,1,4,0,Medium Counterbore,Left Grid
skip,104,2,1,0,Small Counterbore,Left Grid
skip,105,2,2,0,Small Counterbore,Left Grid
skip,106,2,3,0,Medium Counterbore,Left Grid
skip,107,2,4,0,Medium Counterbore,Left Grid
skip,108,3,1,0,Small Counterbore,Left Grid
skip,109,3,2,0,Small Counterbore,Left Grid
skip,110,3,3,0,Medium Counterbore,Left Grid
skip,111,3,4,0,Medium Counterbore,Left Grid
skip,112,4,1,0,Small Counterbore,Left Grid
skip,113,4,2,0,Small Counterbore,Left Grid
skip,114,4,3,0,Medium Counterbore,Left Grid
skip,115,4,4,0,Medium Counterbore,Left Grid
skip,116,5,1,0,Small Counterbore,Left Grid
skip,117,5,2,0,Small Counterbore,Left Grid
skip,118,5,3,0,Medium Counterbore,Left Grid
skip,119,5,4,0,Medium Counterbore,Left Grid
skip,120,6,1,0,Small Counterbore,Left Grid
skip,121,6,2,0,Small Counterbore,Left Grid
skip,122,6,3,0,Medium Counterbore,Left Grid
skip,123,6,4,0,Medium Counterbore,Left Grid
skip,124,7,1,0,Small Counterbore,Left Grid
skip,125,7,2,0,Small Counterbore,Left Grid
skip,126,7,3,0,Medium Counterbore,Left Grid
skip,127,7,4,0,Medium Counterbore,Left Grid
skip,128,8,1,0,Small Counterbore,Left Grid
skip,129,8,2,0,Small Counterbore,Left Grid
skip,130,8,3,0,Medium Counterbore,Left Grid
skip,131,8,4,0,Medium Counterbore,Left Grid
skip,132,9,1,0,Small Counterbore,Left Grid
skip,133,9,2,0,Small Counterbore,Left Grid
skip,134,9,3,0,Medium Counterbore,Left Grid
skip,135,9,4,0,Medium Counterbore,Left Grid
skip,200,2,-0.75,0,Large Counterbore,Right Pattern
skip,201,2,-2.75,0,Large Counterbore,Right Pattern
skip,202,4,-0.75,0,Large Counterbore,Right Pattern
skip,203,4,-2.75,0,Large Counterbore,Right Pattern
skip,204,6,-0.75,0,Large Counterbore,Right Pattern
skip,205,6,-2.75,0,Large Counterbore,Right Pattern
skip,206,8,-0.75,0,Large Counterbore,Right Pattern
skip,207,8,-2.75,0,Large Counterbore,Right Pattern
,300,1,-4.25,0,Thru,Right Row
,301,2,-4.25,0,Thru,Right Row
,302,3,-4.25,0,Thru,Right Row
,303,4,-4.25,0,Thru,Right Row
,304,5,-4.25,0,Thru,Right Row
,305,6,-4.25,0,Thru,Right Row
,306,7,-4.25,0,Thru,Right Row
,307,8,-4.25,0,Thru,Right Row
,308,9,-4.25,0,Thru,Right Row
