timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-22 08:21:04,static_pose,0,-0.0026,0.1895,-0.0333,0.2628,3.1,0.8,99.6,0.1,-0.3,0.0000,2.0,96.7,0,0.0005,0.1780,-0.0413,0.1364,-0.4,-0.3,-0.0420,0.0225
2022-06-22 08:21:07,static_pose,0,-0.0025,0.1894,-0.0333,0.2627,3.1,0.8,99.6,0.1,-0.3,0.0000,2.0,96.2,0,0.0005,0.1772,-0.0414,0.1365,-0.4,-0.3,-0.0421,0.0227
2022-06-22 08:21:10,static_pose,0,-0.0024,0.1895,-0.0333,0.2625,3.1,0.8,99.4,0.1,-0.3,0.0000,2.0,96.1,0,0.0001,0.1770,-0.0413,0.1363,-0.4,-0.3,-0.0421,0.0217
2022-06-22 08:21:12,static_pose,0,-0.0025,0.1894,-0.0334,0.2626,3.1,0.8,99.4,0.1,-0.3,0.0000,1.9,98.1,0,0.0002,0.1780,-0.0413,0.1363,-0.4,-0.3,-0.0420,0.0209
2022-06-22 08:21:15,static_pose,0,-0.0024,0.1893,-0.0334,0.2628,3.1,0.8,99.6,0.1,-0.3,0.0000,1.9,95.9,0,-0.0001,0.1778,-0.0415,0.1357,-0.4,-0.3,-0.0420,0.0202
2022-06-22 08:24:57,static_pose,0,-0.0181,0.1248,-0.0316,0.2621,3.1,0.8,99.4,0.1,-0.3,0.0000,1.5,97.5,0,0.0857,0.2573,-0.0410,0.0754,-0.2,-0.2,-0.0404,0.0184
2022-06-22 08:25:00,static_pose,0,-0.0180,0.1249,-0.0315,0.2629,3.1,0.7,100.1,0.1,-0.3,0.0000,1.5,94.8,0,-0.0152,0.1156,-0.0394,0.1358,-0.2,-0.2,-0.0405,0.0180
2022-06-22 08:25:03,static_pose,0,-0.0181,0.1248,-0.0316,0.2623,3.1,0.8,99.6,0.1,-0.3,0.0000,1.4,94.2,0,-0.0152,0.1171,-0.0394,0.1357,-0.2,-0.2,-0.0404,0.0178
2022-06-22 08:25:05,static_pose,0,-0.0181,0.1248,-0.0316,0.2623,3.1,0.8,99.5,0.1,-0.3,0.0000,1.5,97.3,0,0.0208,0.3236,-0.0415,0.0561,-0.2,-0.2,-0.0406,0.0183
2022-06-22 08:25:08,static_pose,0,-0.0179,0.1247,-0.0316,0.2630,3.1,0.7,100.2,0.1,-0.3,0.0000,1.5,92.8,0,-0.0154,0.1150,-0.0394,0.1357,-0.2,-0.2,-0.0405,0.0183
2022-06-22 08:28:03,static_pose,0,-0.0023,0.1898,-0.0335,0.2625,3.1,0.8,99.4,0.1,-0.3,0.0000,2.0,97.3,0,0.0007,0.1778,-0.0414,0.1364,-0.4,-0.3,-0.0420,0.0204
2022-06-22 08:28:05,static_pose,0,-0.0022,0.1898,-0.0335,0.2626,3.1,0.8,99.5,0.1,-0.3,0.0000,2.0,96.9,0,0.0002,0.1781,-0.0416,0.1358,-0.4,-0.3,-0.0422,0.0211
2022-06-22 08:28:08,static_pose,0,-0.0021,0.1894,-0.0335,0.2625,3.1,0.8,99.4,0.1,-0.3,0.0000,1.8,96.0,0,0.0007,0.1787,-0.0414,0.1364,-0.4,-0.3,-0.0422,0.0211
2022-06-22 08:28:11,static_pose,0,-0.0022,0.1893,-0.0335,0.2628,3.1,0.8,99.6,0.1,-0.3,0.0000,1.8,94.7,0,0.0008,0.1773,-0.0413,0.1369,-0.4,-0.3,-0.0421,0.0213
2022-06-22 08:28:13,static_pose,0,-0.0022,0.1895,-0.0335,0.2628,3.1,0.8,99.6,0.1,-0.3,0.0000,1.9,95.3,0,0.0009,0.1778,-0.0415,0.1361,-0.4,-0.3,-0.0422,0.0210
2022-06-22 09:50:26,static_pose,0,0.0214,0.1940,-0.0308,0.2624,3.1,0.8,99.3,0.1,-0.2,0.0000,2.2,101.4,0,0.0240,0.1829,-0.0388,0.1353,-0.4,-0.2,-0.0394,0.0195
2022-06-22 09:50:29,static_pose,0,0.0216,0.1942,-0.0307,0.2626,3.1,0.8,99.5,0.2,-0.2,0.0000,2.2,96.8,0,0.0245,0.1832,-0.0387,0.1354,-0.4,-0.2,-0.0393,0.0197
2022-06-22 09:50:31,static_pose,0,0.0216,0.1941,-0.0307,0.2630,3.1,0.7,100.0,0.2,-0.2,0.0000,2.2,96.0,0,0.0247,0.1815,-0.0385,0.1359,-0.4,-0.2,-0.0393,0.0211
2022-06-22 09:50:34,static_pose,0,0.0215,0.1945,-0.0306,0.2624,3.1,0.8,99.4,0.2,-0.2,0.0000,2.3,98.7,0,0.0246,0.1830,-0.0387,0.1354,-0.4,-0.2,-0.0393,0.0196
2022-06-22 09:50:37,static_pose,0,0.0215,0.1946,-0.0306,0.2626,3.1,0.8,99.4,0.2,-0.2,0.0000,2.3,98.9,0,0.0249,0.1822,-0.0385,0.1363,-0.4,-0.2,-0.0393,0.0207
2022-06-22 10:07:24,static_pose,0,0.0209,0.1941,-0.0300,0.2626,3.1,0.8,99.5,0.1,-0.2,0.0000,2.3,101.1,0,0.0240,0.1831,-0.0381,0.1354,-0.4,-0.2,-0.0387,0.0206
2022-06-22 10:07:26,static_pose,0,0.0211,0.1947,-0.0300,0.2624,3.1,0.8,99.3,0.1,-0.2,0.0000,2.5,97.6,0,0.0242,0.1820,-0.0379,0.1360,-0.4,-0.2,-0.0387,0.0201
2022-06-22 10:07:29,static_pose,0,0.0213,0.1941,-0.0300,0.2629,3.1,0.7,99.8,0.2,-0.2,0.0000,2.1,97.6,0,0.0241,0.1827,-0.0381,0.1358,-0.4,-0.2,-0.0388,0.0211
2022-06-22 10:07:31,static_pose,0,0.0211,0.1944,-0.0300,0.2627,3.1,0.8,99.5,0.1,-0.2,0.0000,2.3,98.5,0,0.0238,0.1828,-0.0380,0.1354,-0.4,-0.2,-0.0386,0.0206
2022-06-22 10:07:34,static_pose,0,0.0211,0.1941,-0.0299,0.2627,3.1,0.8,99.5,0.2,-0.2,0.0000,2.2,101.7,0,0.0237,0.1819,-0.0379,0.1355,-0.4,-0.2,-0.0385,0.0199
2022-06-22 10:09:56,static_pose,0,0.0209,0.1941,-0.0300,0.2626,3.1,0.8,99.6,0.1,-0.2,0.0000,2.3,97.6,0,0.0242,0.1820,-0.0380,0.1358,-0.4,-0.2,-0.0385,0.0198
2022-06-22 10:09:58,static_pose,0,0.0209,0.1943,-0.0300,0.2625,3.1,0.8,99.4,0.1,-0.2,0.0000,2.3,98.3,0,0.0241,0.1826,-0.0380,0.1356,-0.4,-0.2,-0.0387,0.0202
2022-06-22 10:10:01,static_pose,0,0.0209,0.1943,-0.0301,0.2628,3.1,0.7,99.7,0.2,-0.2,0.0000,2.2,97.1,0,0.0240,0.1828,-0.0380,0.1356,-0.4,-0.2,-0.0387,0.0212
2022-06-22 10:10:03,static_pose,0,0.0209,0.1945,-0.0301,0.2626,3.1,0.8,99.5,0.2,-0.2,0.0000,2.3,99.5,0,0.0239,0.1815,-0.0380,0.1360,-0.4,-0.2,-0.0388,0.0203
2022-06-22 10:10:06,static_pose,0,0.0210,0.1943,-0.0301,0.2623,3.1,0.8,99.3,0.2,-0.2,0.0000,2.2,99.0,0,0.0237,0.1828,-0.0381,0.1352,-0.4,-0.2,-0.0388,0.0205
2022-06-22 10:10:57,static_pose,0,0.0210,0.1939,-0.0300,0.2631,3.1,0.7,100.0,0.1,-0.2,0.0000,2.2,95.9,0,0.0236,0.1822,-0.0381,0.1355,-0.4,-0.2,-0.0386,0.0213
2022-06-22 10:11:00,static_pose,0,0.0209,0.1941,-0.0300,0.2629,3.1,0.7,99.8,0.1,-0.2,0.0000,2.3,98.5,0,0.0237,0.1813,-0.0380,0.1358,-0.4,-0.2,-0.0386,0.0206
2022-06-22 10:11:02,static_pose,0,0.0208,0.1943,-0.0300,0.2625,3.1,0.8,99.4,0.2,-0.2,0.0000,2.3,100.1,0,0.0246,0.1824,-0.0378,0.1361,-0.4,-0.2,-0.0386,0.0202
2022-06-22 10:11:05,static_pose,0,0.0208,0.1942,-0.0299,0.2624,3.1,0.8,99.3,0.2,-0.2,0.0000,2.3,99.9,0,0.0238,0.1822,-0.0379,0.1354,-0.4,-0.2,-0.0386,0.0208
2022-06-22 10:11:08,static_pose,0,0.0209,0.1943,-0.0300,0.2625,3.1,0.8,99.5,0.2,-0.2,0.0000,2.3,98.2,0,0.0239,0.1826,-0.0380,0.1357,-0.4,-0.2,-0.0387,0.0200
2022-06-22 14:19:13,static_pose,0,0.0194,0.1946,-0.0304,0.2629,3.1,0.7,99.8,0.1,-0.3,0.0000,2.2,95.4,0,0.0218,0.1824,-0.0383,0.1352,-0.4,-0.3,-0.0388,0.0207
2022-06-22 14:19:16,static_pose,0,0.0192,0.1948,-0.0304,0.2627,3.1,0.8,99.6,0.1,-0.3,0.0000,2.2,97.9,0,0.0219,0.1827,-0.0383,0.1358,-0.4,-0.3,-0.0389,0.0204
2022-06-22 14:19:19,static_pose,0,0.0192,0.1948,-0.0304,0.2627,3.1,0.8,99.6,0.1,-0.2,0.0000,2.2,98.9,0,0.0226,0.1830,-0.0382,0.1359,-0.4,-0.3,-0.0388,0.0202
2022-06-22 14:19:22,static_pose,0,0.0192,0.1949,-0.0304,0.2625,3.1,0.8,99.3,0.1,-0.2,0.0000,2.3,99.0,0,0.0226,0.1833,-0.0384,0.1356,-0.4,-0.3,-0.0389,0.0224
2022-06-22 14:19:24,static_pose,0,0.0194,0.1948,-0.0306,0.2627,3.1,0.8,99.6,0.1,-0.2,0.0000,2.1,97.8,0,0.0226,0.1836,-0.0386,0.1357,-0.4,-0.3,-0.0391,0.0210
2022-06-22 15:05:55,static_pose,0,0.0221,0.1611,-0.0399,0.2631,3.1,0.7,99.9,0.0,-0.4,0.0000,2.0,94.1,0,0.0239,0.1489,-0.0481,0.1351,-0.4,-0.5,-0.0485,0.0205
2022-06-22 15:05:58,static_pose,0,0.0222,0.1613,-0.0401,0.2628,3.1,0.8,99.6,0.0,-0.4,0.0000,2.0,95.3,0,0.0237,0.1488,-0.0482,0.1352,-0.4,-0.5,-0.0486,0.0199
