timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:24:20,move_and_return,0,0.0122,0.0429,-0.0543,0.1946,1.7,-0.9,98.5,-2.0,-0.3,0.0000,5.2,100.8,0,0.0093,0.0319,-0.0581,0.1237,-2.1,-0.3,-0.0581,0.0171
2022-06-21 16:24:25,move_and_return,0,0.0120,0.0428,-0.0543,0.1945,1.7,-0.9,98.4,-2.0,-0.3,0.0000,5.1,103.9,0,0.0102,0.0328,-0.0581,0.1232,-2.1,-0.3,-0.0579,0.0159
2022-06-21 16:24:30,move_and_return,0,0.0120,0.0429,-0.0543,0.1948,1.7,-0.9,98.8,-2.0,-0.3,0.0000,5.1,100.4,0,0.0097,0.0315,-0.0581,0.1241,-2.1,-0.3,-0.0579,0.0157
2022-06-21 16:24:35,move_and_return,0,0.0120,0.0429,-0.0544,0.1944,1.7,-0.8,98.3,-2.0,-0.3,0.0000,5.2,101.9,0,0.0099,0.0324,-0.0583,0.1233,-2.1,-0.3,-0.0581,0.0170
2022-06-21 16:24:39,move_and_return,0,0.0120,0.0431,-0.0543,0.1944,1.7,-0.8,98.3,-2.0,-0.3,0.0000,5.4,102.6,0,0.0098,0.0326,-0.0581,0.1233,-2.1,-0.3,-0.0579,0.0158
2022-06-22 10:12:53,move_and_return,0,0.0191,0.1963,-0.0284,0.2626,3.1,0.8,99.4,0.2,-0.2,0.0000,2.3,98.7,0,0.0224,0.1846,-0.0364,0.1356,-0.4,-0.2,-0.0370,0.0212
2022-06-22 10:12:58,move_and_return,0,0.0192,0.1964,-0.0284,0.2626,3.1,0.8,99.5,0.2,-0.2,0.0000,2.3,97.8,0,0.0226,0.1848,-0.0363,0.1362,-0.4,-0.2,-0.0371,0.0207
2022-06-22 10:13:03,move_and_return,0,0.0190,0.1963,-0.0282,0.2628,3.1,0.8,99.6,0.1,-0.2,0.0000,2.4,97.4,0,-0.0907,0.0192,-0.0362,0.0590,-0.4,-0.2,-0.0367,0.0198
2022-06-22 10:13:08,move_and_return,0,0.0190,0.1964,-0.0283,0.2626,3.1,0.8,99.4,0.1,-0.2,0.0000,2.3,99.7,0,0.0223,0.1841,-0.0363,0.1357,-0.4,-0.2,-0.0369,0.0198
2022-06-22 10:13:13,move_and_return,0,0.0190,0.1962,-0.0285,0.2628,3.1,0.8,99.5,0.2,-0.2,0.0000,2.3,98.9,0,0.0222,0.1843,-0.0365,0.1357,-0.4,-0.2,-0.0371,0.0205
2022-06-22 10:13:40,move_and_return,0,0.0227,0.1953,-0.0309,0.2625,3.1,0.8,99.4,0.1,-0.2,0.0000,2.4,99.6,0,0.0269,0.1835,-0.0387,0.1360,-0.4,-0.2,-0.0394,0.0198
2022-06-22 10:13:45,move_and_return,0,0.0226,0.1949,-0.0308,0.2624,3.1,0.8,99.3,0.2,-0.2,0.0000,2.2,99.0,0,0.0259,0.1832,-0.0388,0.1358,-0.4,-0.2,-0.0394,0.0206
2022-06-22 10:13:50,move_and_return,0,0.0227,0.1948,-0.0309,0.2626,3.1,0.8,99.6,0.1,-0.2,0.0000,2.2,99.2,0,0.0263,0.1841,-0.0389,0.1358,-0.4,-0.2,-0.0394,0.0200
2022-06-22 10:13:56,move_and_return,0,0.0226,0.1949,-0.0308,0.2625,3.1,0.8,99.5,0.2,-0.2,0.0000,2.2,99.1,0,0.0263,0.1837,-0.0387,0.1361,-0.4,-0.2,-0.0394,0.0199
