timestamp,gocator_ID,gc_decision,gc_offset_x,gc_offset_y,gc_offset_z,gc_outer_radius,gc_depth,dc_bevel_radius,gc_bevel_angle,gc_xangle,gc_yangle,gc_cb_depth,gc_axis_tilt,gc_axis_orient,gh_decision,gh_offset_x,gh_offset_y,gh_offset_z,gh_radius,gp_xangle,gp_yangle,gp_z_offset,gp_std_dev
,,,in,in,in,in,in,in,deg,deg,deg,in,deg,deg,,in,in,in,in,deg,deg,in,in
2022-06-21 16:33:57,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,-0.0149,-0.0425,-0.1050,0.1226,-1.8,-8.8,-0.1098,0.0180
2022-06-21 16:34:01,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0049,-0.0451,-0.1034,0.1231,0.0,0.0,-0.1034,0.0058
2022-06-21 16:34:08,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0230,-0.0463,-0.0902,0.1224,-1.3,9.2,-0.0972,0.0325
2022-06-21 16:34:11,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0058,-0.0417,-0.1041,0.1232,-0.1,-0.1,-0.1041,0.0069
2022-06-21 16:34:17,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0126,-0.0550,-0.0920,0.1233,-6.2,2.5,-0.0995,0.0196
2022-06-21 16:34:21,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0051,-0.0442,-0.1033,0.1231,0.0,-0.1,-0.1033,0.0070
2022-06-21 16:34:27,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0178,-0.0510,-0.0937,0.1229,-2.9,5.8,-0.0986,0.0155
2022-06-21 16:34:31,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0057,-0.0426,-0.1046,0.1231,0.0,-0.1,-0.1046,0.0075
2022-06-21 16:34:37,random_10deg_tilt,0,-0.0034,-0.0068,-0.1027,0.1561,0.9,-1.4,93.6,5.7,-0.5,0.0000,9.9,101.9,0,-0.0002,-0.0306,-0.1090,0.1231,5.7,-0.5,-0.1065,0.0145
2022-06-21 16:34:41,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0059,-0.0439,-0.1026,0.1231,0.1,0.1,-0.1026,0.0071
2022-06-22 10:28:05,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0802,-0.0251,0.0621,0.1228,-2.3,8.4,0.0478,0.0269
2022-06-22 10:28:09,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0861,-0.0257,0.0404,0.1230,-0.1,0.0,0.0404,0.0051
2022-06-22 10:28:15,random_10deg_tilt,0,0.0865,-0.0091,0.0388,0.1367,-4.9,4.0,-11.0,4.8,-1.9,0.0000,12.0,-171.7,0,0.0822,-0.0266,0.0337,0.1230,4.8,-1.9,0.0383,0.0105
2022-06-22 10:28:19,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0870,-0.0242,0.0400,0.1230,0.1,0.1,0.0400,0.0043
2022-06-22 10:28:25,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0877,-0.0178,0.0344,0.1224,-5.8,-6.7,0.0406,0.0268
2022-06-22 10:28:29,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0868,-0.0253,0.0407,0.1231,0.1,0.1,0.0406,0.0052
2022-06-22 10:28:36,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0837,-0.0247,0.0574,0.1224,-2.5,6.2,0.0469,0.0144
2022-06-22 10:28:39,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0865,-0.0258,0.0409,0.1231,-0.1,0.0,0.0409,0.0044
2022-06-22 10:28:46,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0869,-0.0182,0.0466,0.1226,-7.8,-2.0,0.0449,0.0282
2022-06-22 10:28:49,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0867,-0.0251,0.0400,0.1229,0.1,0.1,0.0400,0.0050
2022-06-22 14:30:25,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0687,-0.0254,0.0493,0.1231,0.7,5.0,0.0435,0.0105
2022-06-22 14:30:28,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0722,-0.0234,0.0400,0.1231,0.0,0.0,0.0400,0.0048
2022-06-22 14:30:36,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0691,-0.0220,0.0220,0.1231,5.2,-6.0,0.0307,0.0133
2022-06-22 14:30:39,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0723,-0.0230,0.0401,0.1229,0.1,0.1,0.0400,0.0043
2022-06-22 14:30:46,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0645,-0.0286,0.0444,0.1228,7.9,6.4,0.0390,0.0289
2022-06-22 14:30:49,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0721,-0.0237,0.0414,0.1229,-0.1,0.1,0.0413,0.0056
2022-06-22 14:30:56,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0712,-0.0225,0.0489,0.1226,-1.9,3.3,0.0440,0.0071
2022-06-22 14:31:00,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0724,-0.0241,0.0413,0.1231,-0.1,0.0,0.0413,0.0047
2022-06-22 14:31:07,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0674,-0.0248,0.0368,0.1229,4.5,0.2,0.0383,0.0111
2022-06-22 14:31:10,adjust_2,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0725,-0.0231,0.0406,0.1231,0.0,0.1,0.0405,0.0048
2022-06-22 16:55:09,random_10deg_tilt,2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,0,0.0037,-0.0634,0.0458,0.1229,1.0,6.6,0.0456,0.0197
