skip,ID,X,Y,Z,Type,Notes
skip,,in,in,in,,
,100,1,1,0,Small Counterbore,Left Grid
,101,1,2,0,Small Counterbore,Left Grid
,102,1,3,0,Medium Counterbore,Left Grid
,103,1,4,0,Medium Counterbore,Left Grid
,104,2,1,0,Small Counterbore,Left Grid
,105,2,2,0,Small Counterbore,Left Grid
,106,2,3,0,Medium Counterbore,Left Grid
,107,2,4,0,Medium Counterbore,Left Grid
,108,3,1,0,Small Counterbore,Left Grid
,109,3,2,0,Small Counterbore,Left Grid
,110,3,3,0,Medium Counterbore,Left Grid
,111,3,4,0,Medium Counterbore,Left Grid
,112,4,1,0,Small Counterbore,Left Grid
,113,4,2,0,Small Counterbore,Left Grid
,114,4,3,0,Medium Counterbore,Left Grid
,115,4,4,0,Medium Counterbore,Left Grid
,116,5,1,0,Small Counterbore,Left Grid
,117,5,2,0,Small Counterbore,Left Grid
,118,5,3,0,Medium Counterbore,Left Grid
,119,5,4,0,Medium Counterbore,Left Grid
,120,6,1,0,Small Counterbore,Left Grid
,121,6,2,0,Small Counterbore,Left Grid
,122,6,3,0,Medium Counterbore,Left Grid
,123,6,4,0,Medium Counterbore,Left Grid
,124,7,1,0,Small Counterbore,Left Grid
,125,7,2,0,Small Counterbore,Left Grid
,126,7,3,0,Medium Counterbore,Left Grid
,127,7,4,0,Medium Counterbore,Left Grid
,128,8,1,0,Small Counterbore,Left Grid
,129,8,2,0,Small Counterbore,Left Grid
,130,8,3,0,Medium Counterbore,Left Grid
,131,8,4,0,Medium Counterbore,Left Grid
,132,9,1,0,Small Counterbore,Left Grid
,133,9,2,0,Small Counterbore,Left Grid
,134,9,3,0,Medium Counterbore,Left Grid
,135,9,4,0,Medium Counterbore,Left Grid
,200,2,-0.75,0,Large Counterbore,Right Pattern
,201,2,-2.75,0,Large Counterbore,Right Pattern
,202,4,-0.75,0,Large Counterbore,Right Pattern
,203,4,-2.75,0,Large Counterbore,Right Pattern
,204,6,-0.75,0,Large Counterbore,Right Pattern
,205,6,-2.75,0,Large Counterbore,Right Pattern
,206,8,-0.75,0,Large Counterbore,Right Pattern
,207,8,-2.75,0,Large Counterbore,Right Pattern
,300,1,-4.25,0,Thru,Right Row
,301,2,-4.25,0,Thru,Right Row
,302,3,-4.25,0,Thru,Right Row
,303,4,-4.25,0,Thru,Right Row
,304,5,-4.25,0,Thru,Right Row
,305,6,-4.25,0,Thru,Right Row
,306,7,-4.25,0,Thru,Right Row
,307,8,-4.25,0,Thru,Right Row
,308,9,-4.25,0,Thru,Right Row
